model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
XGBoost_grid__1_AutoML_20200514_230701_model_5,0.9955495537739404,0.07515446998933896,0.9982088269976932,0.033144665931233504,0.1461587073915247,0.02136236774636134
StackedEnsemble_AllModels_AutoML_20200514_230701,0.9955106598249446,0.08421165149279622,0.9979802702626904,0.0312935309420312,0.14816994431890307,0.021954332399466838
XGBoost_grid__1_AutoML_20200514_230701_model_9,0.9954580388994501,0.07676988703612497,0.9981159968447468,0.03379930263903288,0.14693952348644013,0.02159122356242209
GBM_grid__1_AutoML_20200514_230701_model_5,0.9954180753159216,0.07738342535196617,0.9981258668085504,0.03497364929862026,0.14667725957573266,0.02151421847664685
GBM_4_AutoML_20200514_230701,0.9953706752256446,0.0793251840307151,0.9981338474583334,0.034939275828898,0.14904771693910768,0.02221522192476037
StackedEnsemble_BestOfFamily_AutoML_20200514_230701,0.9952785745989101,0.08608356252595946,0.9979636083218072,0.03468003971298344,0.1499002995534536,0.02247009980621513
GBM_3_AutoML_20200514_230701,0.9952691236137918,0.07744715050622207,0.9980573167032885,0.03545889409772609,0.14715362032274207,0.02165418797408973
GBM_2_AutoML_20200514_230701,0.9952660573281324,0.07775184318056796,0.9980881757112378,0.034781326462951886,0.14782824838594485,0.02185319102085661
XGBoost_grid__1_AutoML_20200514_230701_model_12,0.9952467198638364,0.07732031441020651,0.9980824951886408,0.035786052006445926,0.14798941418381642,0.021900866710469164
GBM_grid__1_AutoML_20200514_230701_model_3,0.9951967322766908,0.07817786878641579,0.9980544207801322,0.03673383988508254,0.14923777708822472,0.022271914110234648
GBM_grid__1_AutoML_20200514_230701_model_4,0.995183568131696,0.07877736398789692,0.9980330116720576,0.03413758220014044,0.1490736531179015,0.022222954053916427
GBM_grid__1_AutoML_20200514_230701_model_7,0.9951594988079688,0.07914653038201004,0.9980540512236279,0.03931902175911688,0.15002305222844795,0.02250691619993962
GBM_grid__1_AutoML_20200514_230701_model_2,0.9951545148203976,0.07916230104693228,0.9980115248794312,0.035391063987880736,0.1489894559861701,0.02219785799505492
XGBoost_grid__1_AutoML_20200514_230701_model_4,0.9951389465444541,0.08347852162883397,0.9980097231308764,0.034521540249277824,0.15021080408111873,0.02256328566269624
GBM_5_AutoML_20200514_230701,0.9951383531519632,0.07814144366263306,0.9979924381633852,0.03561666009775237,0.1487290240696651,0.022120322600715017
GBM_grid__1_AutoML_20200514_230701_model_6,0.9951240862647006,0.07976800814164482,0.9979974874429368,0.033561943096054085,0.14893281190405533,0.022180982461648725
XGBoost_grid__1_AutoML_20200514_230701_model_2,0.9951139298301409,0.07833901125242589,0.9980057067489201,0.03570696271977297,0.14892274749149514,0.022177984720415617
XGBoost_grid__1_AutoML_20200514_230701_model_1,0.995108833785619,0.07982630371595036,0.9980166370907916,0.034081286316002435,0.148582316839643,0.022076704877436057
XGBoost_grid__1_AutoML_20200514_230701_model_7,0.9950981680012819,0.07957345314424957,0.9980086047826426,0.034905406615455284,0.14901662739956284,0.02220595524154014
XGBoost_grid__1_AutoML_20200514_230701_model_13,0.9950900158580959,0.07884687856520624,0.998019537763955,0.037761633879991284,0.14904732762268155,0.022215105871462974
XGBoost_3_AutoML_20200514_230701,0.9950336970532181,0.07910088057604356,0.9979810493532796,0.036034074787012836,0.14924943890614364,0.0222753950137987
XGBoost_grid__1_AutoML_20200514_230701_model_8,0.9950136108447496,0.07954588104461993,0.9979330216778308,0.035638995085487735,0.14990472612063155,0.02247142691330155
XGBoost_grid__1_AutoML_20200514_230701_model_14,0.9949672854825024,0.07986216023801121,0.9979735814473141,0.03677910579979274,0.15047844998471796,0.022643763909803258
XGBoost_1_AutoML_20200514_230701,0.9947435001110893,0.08303030531379674,0.9978978417247688,0.0366210647508867,0.15223417910298406,0.02317524528715942
XGBoost_grid__1_AutoML_20200514_230701_model_11,0.9946912561044298,0.08225871954935281,0.997852668888624,0.03571748843292123,0.15317367642357405,0.023462175149113758
XGBoost_grid__1_AutoML_20200514_230701_model_3,0.9946163536729264,0.08424783115391267,0.9978309666616816,0.0389235753257521,0.15433916534920286,0.02382057796068858
GBM_1_AutoML_20200514_230701,0.9945592428291444,0.08456509313243253,0.9978032687367564,0.035299707011821085,0.15308154672995894,0.02343395994923661
XGBoost_2_AutoML_20200514_230701,0.9944872742523588,0.08488734881001443,0.9977792645752256,0.04158747975461973,0.15569189199468006,0.024239965232883125
XGBoost_grid__1_AutoML_20200514_230701_model_6,0.9944477308823966,0.08388281252358983,0.9977664248425699,0.03737698820865453,0.15425780664182004,0.02379547090994514
XGBoost_grid__1_AutoML_20200514_230701_model_15,0.9942677495918324,0.08540718390574968,0.9976846715426864,0.04258085443832625,0.15614224414813835,0.024380400407616847
XGBoost_grid__1_AutoML_20200514_230701_model_10,0.9941400454156636,0.08614185656588859,0.9976329694816122,0.0424224924990605,0.15664537670877707,0.02453777404423468
XRT_1_AutoML_20200514_230701,0.9935835273022176,0.10177402350579252,0.9971740864399627,0.03973551961877818,0.16287691777261262,0.02652889034310641
GBM_grid__1_AutoML_20200514_230701_model_1,0.9934695501025472,0.0922066797362436,0.9973677956641734,0.041179857314828185,0.16162219979718326,0.026121735467280617
DRF_1_AutoML_20200514_230701,0.9934104909958676,0.10342911709292617,0.9969590068261776,0.04089828621117825,0.1623326495722572,0.02635188911714926
GBM_grid__1_AutoML_20200514_230701_model_8,0.9934011648014448,0.09356025052238684,0.9973035401879096,0.04202640428497631,0.16233977562880866,0.02635420275121193
