model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
StackedEnsemble_BestOfFamily_AutoML_20200514_170422,0.9617183529356099,0.22799033090500534,0.9215506453405614,0.11160112270179386,0.2576119853500801,0.06636393499600989
StackedEnsemble_AllModels_AutoML_20200514_170422,0.9616293289323729,0.22936007251993334,0.9201905075255612,0.1103662078344386,0.2588010050798839,0.06697796023035807
GBM_grid__1_AutoML_20200514_170422_model_47,0.9612185744248825,0.24530572168115744,0.9187560689876569,0.10788097990443736,0.2628289941732642,0.06907908017812976
DRF_1_AutoML_20200514_170422,0.9608017014291972,0.28116121047583914,0.9182179769343648,0.1087215582076256,0.263294277172304,0.06932387639168604
XGBoost_grid__1_AutoML_20200514_170422_model_42,0.96024073803652,0.2455437256835481,0.9168053028308424,0.1091620893576648,0.266924030161076,0.07124843787743103
XRT_1_AutoML_20200514_170422,0.9599917155669839,0.27269672584173393,0.9180261841935854,0.1070711979918306,0.26566409333247265,0.07057741048616473
GBM_grid__1_AutoML_20200514_170422_model_39,0.959010004136098,0.23826531176124446,0.9135551944886464,0.10674192135213696,0.2645022845417003,0.06996145852777863
GBM_grid__1_AutoML_20200514_170422_model_41,0.9587684258271992,0.2375863986911856,0.9080069208431994,0.10154946634545964,0.2641950580014272,0.06979902867237747
GBM_grid__1_AutoML_20200514_170422_model_48,0.9582953647149232,0.2421107162656811,0.9132905688822648,0.1052753197317981,0.2650599532757985,0.0702567788305685
XGBoost_grid__1_AutoML_20200514_170422_model_89,0.9578786956688444,0.2465128198297025,0.9068999521853504,0.10915066817970083,0.2694637475460401,0.07261071124155606
GBM_grid__1_AutoML_20200514_170422_model_28,0.9567002748424897,0.2414170230105204,0.9079762068851482,0.11147895688750058,0.26976332233730443,0.0727722500784604
GBM_grid__1_AutoML_20200514_170422_model_45,0.9565951388203392,0.24078806243961426,0.9068497213718127,0.11546902698905935,0.2697129044475701,0.07274505082554407
XGBoost_grid__1_AutoML_20200514_170422_model_26,0.9564584925839844,0.2497049810644719,0.9040279477289921,0.10772230711058066,0.26936981561658824,0.07256009756531473
GBM_grid__1_AutoML_20200514_170422_model_24,0.955903137805486,0.2426614511182528,0.906473703659845,0.10809380131881974,0.26942938073298417,0.07259219120215933
GBM_4_AutoML_20200514_170422,0.9557387544226472,0.24265144498255325,0.9070878697202742,0.11878514561594004,0.270364283771632,0.07309684593934754
XGBoost_grid__1_AutoML_20200514_170422_model_32,0.9553452336569062,0.26101290389467496,0.9020013693765646,0.11600317100848186,0.2748214294403242,0.07552681807962311
XGBoost_grid__1_AutoML_20200514_170422_model_68,0.955002190418774,0.2449884233369048,0.9019384730777529,0.11609505030620995,0.2710539714256825,0.07347025542563472
XGBoost_grid__1_AutoML_20200514_170422_model_9,0.9548768633855798,0.24584304573710786,0.9003064965839257,0.1156681837798062,0.2722027261004056,0.07409432409649243
XGBoost_grid__1_AutoML_20200514_170422_model_19,0.9544709016938422,0.262462946240499,0.8979492346791765,0.11648194270973974,0.2773984296739673,0.07694988878558298
GBM_grid__1_AutoML_20200514_170422_model_23,0.9541103187895508,0.2488835922609427,0.8996764786259558,0.1128651003880753,0.27450945289614953,0.07535543972934332
GBM_grid__1_AutoML_20200514_170422_model_38,0.9540580057154838,0.24719028106164415,0.9020215051340292,0.12018097672282352,0.2731560701662383,0.07461423866866289
XGBoost_grid__1_AutoML_20200514_170422_model_83,0.9534501339133116,0.2850128936095509,0.8944555329135359,0.11412683462868525,0.2806149451416248,0.07874474743683713
XGBoost_grid__1_AutoML_20200514_170422_model_55,0.9533884391573456,0.2566194648786154,0.8983003825315027,0.1187297732977754,0.2767554161467509,0.07659356036656129
GBM_grid__1_AutoML_20200514_170422_model_19,0.9533326589399678,0.2492974778846408,0.8991106188631118,0.12263938527957005,0.2752055006378157,0.07573806758131077
XGBoost_grid__1_AutoML_20200514_170422_model_30,0.9532810596895236,0.2504819198402465,0.8970204673659491,0.11660635196970452,0.27468644202550685,0.07545264143263213
XGBoost_grid__1_AutoML_20200514_170422_model_52,0.9532657634690359,0.2948926924975951,0.8979226588981374,0.12076304889977345,0.2813664773784899,0.07916709459238028
