model_id,rmse,mean_residual_deviance,mse,mae,rmsle
StackedEnsemble_AllModels_AutoML_20200516_021552,0.7324161229578393,0.5364333771685929,0.5364333771685929,0.5165951044316474,0.09884575973567676
StackedEnsemble_BestOfFamily_AutoML_20200516_021552,0.7399037698724416,0.5474575886714509,0.5474575886714509,0.5267531294685887,0.09991341635513487
GBM_grid__1_AutoML_20200516_021552_model_13,0.7556626714594906,0.5710260730372939,0.5710260730372939,0.5462223649631889,0.1023694651075475
GBM_grid__1_AutoML_20200516_021552_model_15,0.7728140380058885,0.5972415373389669,0.5972415373389669,0.5481004078613784,0.10465818336236754
GBM_grid__1_AutoML_20200516_021552_model_6,0.7756448119667404,0.6016248743309202,0.6016248743309202,0.5728999589345474,0.1050314303538628
XGBoost_grid__1_AutoML_20200516_021552_model_17,0.7811395643219461,0.6101790189490798,0.6101790189490798,0.5720079729329899,0.10535996933812528
GBM_grid__1_AutoML_20200516_021552_model_2,0.781401661939463,0.6105885572817549,0.6105885572817549,0.5782428615428099,0.10600849383254464
GBM_4_AutoML_20200516_021552,0.7822303345100942,0.6118842962277737,0.6118842962277737,0.5763289057807671,0.10596730395127428
GBM_grid__1_AutoML_20200516_021552_model_9,0.7833251598765226,0.6135983060955797,0.6135983060955797,0.5816918017808015,0.10607021856250567
XGBoost_grid__1_AutoML_20200516_021552_model_25,0.7844201543243986,0.6153149785103132,0.6153149785103132,0.5706694106042037,0.10552998022929848
XGBoost_grid__1_AutoML_20200516_021552_model_18,0.7858202819747668,0.6175135155629019,0.6175135155629019,0.5696276288795842,0.10564608230436774
XGBoost_grid__1_AutoML_20200516_021552_model_2,0.7863000689358896,0.6182677984085847,0.6182677984085847,0.5825120590757566,0.1062169853252908
GBM_grid__1_AutoML_20200516_021552_model_23,0.7863009364860879,0.6182691627188988,0.6182691627188988,0.5744786852730596,0.10623372828110332
GBM_grid__1_AutoML_20200516_021552_model_5,0.7868924491011289,0.6191997264523728,0.6191997264523728,0.5810553272004164,0.10639169209884963
XGBoost_grid__1_AutoML_20200516_021552_model_16,0.7888533208815407,0.6222895618658351,0.6222895618658351,0.5811078824242909,0.10694968745329347
GBM_grid__1_AutoML_20200516_021552_model_22,0.7897752724507032,0.6237449809745825,0.6237449809745825,0.5574134562397881,0.1064645450957777
GBM_grid__1_AutoML_20200516_021552_model_18,0.7910095480701903,0.6256961051382067,0.6256961051382067,0.5896560201446596,0.10741204923484247
XRT_1_AutoML_20200516_021552,0.7918590969281432,0.6270408293878544,0.6270408293878544,0.5722922058550951,0.10691095109867696
GBM_grid__1_AutoML_20200516_021552_model_11,0.7920545290306911,0.6273503769580299,0.6273503769580299,0.589493786070474,0.1076527064157464
XGBoost_1_AutoML_20200516_021552,0.7923320237798611,0.6277900359070905,0.6277900359070905,0.5771332652400395,0.10710937337562126
XGBoost_grid__1_AutoML_20200516_021552_model_12,0.7924256830819804,0.6279384632079431,0.6279384632079431,0.5801350898891011,0.10687955960963012
GBM_2_AutoML_20200516_021552,0.7927737689180333,0.6284902486845033,0.6284902486845033,0.5885112694959619,0.10749238485778896
DeepLearning_grid__2_AutoML_20200516_021552_model_1,0.793155915901203,0.6290963069290764,0.6290963069290764,0.5648318184456004,0.10769535313560444
GBM_grid__1_AutoML_20200516_021552_model_16,0.7931835800517709,0.629140191663744,0.629140191663744,0.5873087703851106,0.10757794241773118
GBM_grid__1_AutoML_20200516_021552_model_19,0.7935136690563453,0.6296639429792631,0.6296639429792631,0.5840953655793698,0.10733739707460616
GBM_grid__1_AutoML_20200516_021552_model_17,0.793569851623529,0.6297531094057898,0.6297531094057898,0.584343802807141,0.1073841588624519
GBM_3_AutoML_20200516_021552,0.7938871815195965,0.6302568569811288,0.6302568569811288,0.589208862567709,0.10752481748803412
DeepLearning_grid__3_AutoML_20200516_021552_model_1,0.7940880175335417,0.6305757795903505,0.6305757795903505,0.5688377529412723,0.1070901450539181
XGBoost_grid__1_AutoML_20200516_021552_model_5,0.7942874524090462,0.6308925570544528,0.6308925570544528,0.5787304756476056,0.10773138349488737
XGBoost_grid__1_AutoML_20200516_021552_model_23,0.7954736065042834,0.6327782586449315,0.6327782586449315,0.5837382719413228,0.10758628479405044
XGBoost_grid__1_AutoML_20200516_021552_model_8,0.7957835517957019,0.6332714613085828,0.6332714613085828,0.5697469001301526,0.10733129433092606
XGBoost_grid__1_AutoML_20200516_021552_model_24,0.8001589774133911,0.6402543891352438,0.6402543891352438,0.5776660289381204,0.1078076144927444
XGBoost_grid__1_AutoML_20200516_021552_model_14,0.8006817313343496,0.6410912348925716,0.6410912348925716,0.5791018268773097,0.10759479130028536
GBM_1_AutoML_20200516_021552,0.8023277232377533,0.6437297754758767,0.6437297754758767,0.5926217240473141,0.10858088163820367
GBM_grid__1_AutoML_20200516_021552_model_24,0.8038306433385092,0.6461437031700015,0.6461437031700015,0.597525266212981,0.10911846547858588
