model_id,logloss,mean_per_class_error,rmse,mse
GBM_grid__1_AutoML_20200514_172539_model_106,0.04290897672994205,0.014430014430014432,0.10627619270572436,0.011294629136024257
GBM_grid__1_AutoML_20200514_172539_model_70,0.044510593472130884,0.014911014911014913,0.10941237595702902,0.01197106801256226
GBM_grid__1_AutoML_20200514_172539_model_17,0.0449194513448468,0.014430014430014432,0.10794625689632087,0.0116523943779265
GBM_grid__1_AutoML_20200514_172539_model_119,0.0449873529878077,0.01346801346801347,0.10893521658843222,0.011866881413168636
GBM_grid__1_AutoML_20200514_172539_model_65,0.045685131203506896,0.014911014911014913,0.10936564163730522,0.01196084357073947
GBM_grid__1_AutoML_20200514_172539_model_11,0.046034238825520386,0.017797017797017794,0.11401770825198147,0.013000037795033965
GBM_grid__1_AutoML_20200514_172539_model_90,0.046482857631300833,0.013949013949013949,0.10951807707174452,0.011994209205492577
GBM_grid__1_AutoML_20200514_172539_model_34,0.046521828847456745,0.014430014430014432,0.10806821955019733,0.011678740076749652
GBM_grid__1_AutoML_20200514_172539_model_26,0.047263462769741416,0.012987012987012988,0.10971639019753106,0.012037686277976887
GBM_grid__1_AutoML_20200514_172539_model_76,0.04745496780767918,0.015873015873015872,0.11482227591632405,0.013184155046604449
GBM_grid__1_AutoML_20200514_172539_model_129,0.04752837290177463,0.014430014430014432,0.11282862988476773,0.012730299721673898
GBM_grid__1_AutoML_20200514_172539_model_16,0.04757285603267832,0.012506012506012505,0.1081785890279858,0.011702607124085848
GBM_grid__1_AutoML_20200514_172539_model_111,0.047799723770691895,0.014911014911014913,0.11059495839604053,0.012231244822621936
GBM_grid__1_AutoML_20200514_172539_model_87,0.0479574430366664,0.01539201539201539,0.11268399471177452,0.012697682664203229
GBM_grid__1_AutoML_20200514_172539_model_115,0.0481149145802917,0.01539201539201539,0.11174870099977738,0.012487772175137643
GBM_grid__1_AutoML_20200514_172539_model_112,0.04830376732756034,0.018278018278018282,0.11544627086575328,0.013327841456808874
GBM_grid__1_AutoML_20200514_172539_model_36,0.04852932140198765,0.017316017316017316,0.11507535352547968,0.013242336989014131
GBM_grid__1_AutoML_20200514_172539_model_53,0.048609131719318285,0.013468013468013466,0.1096271403532306,0.012018109902026923
GBM_grid__1_AutoML_20200514_172539_model_68,0.04862755359417102,0.013468013468013466,0.10808458788028193,0.011682278137250384
GBM_grid__1_AutoML_20200514_172539_model_73,0.04864434830732242,0.016354016354016353,0.11167203175382544,0.012470642676027398
GBM_grid__1_AutoML_20200514_172539_model_71,0.048810076767334974,0.017316017316017316,0.11268410216116426,0.012697706879867704
GBM_grid__1_AutoML_20200514_172539_model_58,0.04881456624286869,0.01875901875901876,0.11802756522516802,0.013930506152981293
GBM_grid__1_AutoML_20200514_172539_model_114,0.04883318631783451,0.01539201539201539,0.11104673806272183,0.012331378034370757
GBM_grid__1_AutoML_20200514_172539_model_9,0.04891792548324525,0.016835016835016838,0.11471047315973612,0.013158492652530544
GBM_grid__1_AutoML_20200514_172539_model_67,0.04914525345583262,0.01539201539201539,0.11434407322520054,0.013074567081730024
GBM_grid__1_AutoML_20200514_172539_model_49,0.049172743227838836,0.013468013468013466,0.11086756948684934,0.012291617963921366
GBM_grid__1_AutoML_20200514_172539_model_43,0.04924448034857713,0.016835016835016838,0.11505036876927707,0.013236587353946646
GBM_grid__1_AutoML_20200514_172539_model_50,0.04929412720394101,0.0177970177970178,0.11444993180833993,0.01309878689093366
GBM_grid__1_AutoML_20200514_172539_model_18,0.04948345319314824,0.017316017316017316,0.11639619068293255,0.013548073205497595
GBM_grid__1_AutoML_20200514_172539_model_7,0.04955075828928343,0.013949013949013949,0.11139330362575782,0.012408468092660269
GBM_grid__1_AutoML_20200514_172539_model_13,0.04962830032689067,0.017316017316017316,0.11632772120734255,0.013532138721293212
GBM_grid__1_AutoML_20200514_172539_model_103,0.049840597084265234,0.012987012987012988,0.11051883186321182,0.012214412196408885
GBM_2_AutoML_20200514_172539,0.04986996069511579,0.014911014911014913,0.11035982486882114,0.012179290945076872
GBM_grid__1_AutoML_20200514_172539_model_32,0.05028629670122795,0.01539201539201539,0.11438417155070525,0.013083738701341168
GBM_grid__1_AutoML_20200514_172539_model_96,0.050387554246615056,0.014430014430014432,0.11325262005612542,0.012826155949577102
GBM_grid__1_AutoML_20200514_172539_model_95,0.05039881748319845,0.013949013949013949,0.11214044658171618,0.01257547975954674
StackedEnsemble_BestOfFamily_AutoML_20200514_172539,0.05048110042553786,0.012506012506012505,0.10727810691314127,0.011508592222867368
GBM_grid__1_AutoML_20200514_172539_model_12,0.05057635115026555,0.017797017797017794,0.1155821224443791,0.013359227028747441
XGBoost_grid__1_AutoML_20200514_172539_model_31,0.05068974876072509,0.014911014911014913,0.1136567308882819,0.012917852476211336
XGBoost_grid__1_AutoML_20200514_172539_model_22,0.05071315349063675,0.016354016354016353,0.11422956468117143,0.013048393447249923
GBM_grid__1_AutoML_20200514_172539_model_51,0.05092021833633465,0.015873015873015872,0.11277698887525199,0.012718649219768709
GBM_grid__1_AutoML_20200514_172539_model_83,0.0510171776042994,0.014911014911014913,0.1154830165645277,0.013336327114842977
GBM_grid__1_AutoML_20200514_172539_model_69,0.05102717375006758,0.016835016835016838,0.11760930048435332,0.013831947560418906
GBM_grid__1_AutoML_20200514_172539_model_105,0.05110843469772466,0.016354016354016353,0.11467407557279323,0.013150143608474687
XGBoost_grid__1_AutoML_20200514_172539_model_7,0.051110178521625235,0.016835016835016838,0.11489741867962397,0.013201416819240808
GBM_grid__1_AutoML_20200514_172539_model_5,0.05117101822217899,0.014911014911014913,0.11095222312454103,0.012310395816277938
XGBoost_grid__1_AutoML_20200514_172539_model_32,0.051192137080945055,0.01539201539201539,0.11696982526187087,0.013681940021792608
GBM_grid__1_AutoML_20200514_172539_model_6,0.05120801350225266,0.014911014911014913,0.1130860120329856,0.012788446117524568
GBM_grid__1_AutoML_20200514_172539_model_130,0.051236274672078766,0.016354016354016353,0.1127983144692794,0.012723459747110448
GBM_grid__1_AutoML_20200514_172539_model_19,0.05134455633718603,0.01539201539201539,0.11453883506261447,0.013119144737500804
GBM_grid__1_AutoML_20200514_172539_model_30,0.05137566264707046,0.017316017316017316,0.11583500825233885,0.01341774913681941
GBM_grid__1_AutoML_20200514_172539_model_3,0.05159631258748354,0.015873015873015872,0.11361351762037693,0.012908031386075696
GBM_grid__1_AutoML_20200514_172539_model_2,0.05161282003393045,0.01539201539201539,0.11535969892069635,0.013307860135073712
GBM_grid__1_AutoML_20200514_172539_model_121,0.05166460652734349,0.014430014430014432,0.10969659311905416,0.01203334254192732
GBM_grid__1_AutoML_20200514_172539_model_110,0.051680404673723285,0.017316017316017316,0.11229344607282292,0.012609818030909992
GBM_grid__1_AutoML_20200514_172539_model_52,0.05172693298364645,0.013468013468013466,0.10966365739304623,0.012026117752819422
GBM_grid__1_AutoML_20200514_172539_model_24,0.05181589589695389,0.014430014430014432,0.11207925051962747,0.012561758397041418
GBM_grid__1_AutoML_20200514_172539_model_78,0.05182509529023467,0.018278018278018275,0.11925430721386482,0.01422158978905885
GBM_grid__1_AutoML_20200514_172539_model_64,0.05185080939874636,0.01539201539201539,0.11721600979338405,0.013739592951882705
GBM_grid__1_AutoML_20200514_172539_model_113,0.05204209701258178,0.017316017316017316,0.11733632211397843,0.013767812487235302
GBM_grid__1_AutoML_20200514_172539_model_56,0.05206054357718859,0.01539201539201539,0.1160819806134279,0.013475026223136248
GBM_grid__1_AutoML_20200514_172539_model_20,0.05220699929385377,0.014430014430014432,0.11257665105230986,0.012673502362153541
XGBoost_grid__1_AutoML_20200514_172539_model_27,0.05226365497494808,0.016354016354016353,0.1177392433962878,0.0138625294355303
XGBoost_grid__1_AutoML_20200514_172539_model_66,0.05226837318895988,0.015873015873015876,0.11125819705300316,0.012378386411484879
GBM_grid__1_AutoML_20200514_172539_model_42,0.05230768762283313,0.015873015873015872,0.11377767450901075,0.012945359216678394
XGBoost_grid__1_AutoML_20200514_172539_model_42,0.052537239424488326,0.017316017316017316,0.11623788766359147,0.013511246528493712
GBM_3_AutoML_20200514_172539,0.052561800343314834,0.014911014911014913,0.11399898421711599,0.012995768402534262
XGBoost_grid__1_AutoML_20200514_172539_model_39,0.05260289372679846,0.01539201539201539,0.11658266479453006,0.013591517730593758
XGBoost_grid__1_AutoML_20200514_172539_model_9,0.05276255382642668,0.014430014430014432,0.1151858957519728,0.013267790580184341
XGBoost_grid__1_AutoML_20200514_172539_model_52,0.05280990943165147,0.012987012987012988,0.11155607380893058,0.01244475760366357
GBM_grid__1_AutoML_20200514_172539_model_98,0.05290088373844792,0.017316017316017316,0.11858394337727708,0.014062151626905257
GBM_grid__1_AutoML_20200514_172539_model_100,0.0531460236543685,0.016835016835016838,0.11722887809393814,0.013742609859163412
GBM_grid__1_AutoML_20200514_172539_model_93,0.05316225071644571,0.014911014911014913,0.11173056302299413,0.01248371871343526
XGBoost_grid__1_AutoML_20200514_172539_model_38,0.053183659405538194,0.01346801346801347,0.11732747218918295,0.013765735730303498
XGBoost_grid__1_AutoML_20200514_172539_model_41,0.05320099951140027,0.015873015873015872,0.1111522706926806,0.012354827280138944
GBM_grid__1_AutoML_20200514_172539_model_82,0.05327759226732223,0.016835016835016838,0.11885284638394394,0.014125999093565374
GBM_grid__1_AutoML_20200514_172539_model_29,0.05338472742063676,0.015873015873015872,0.11451306097152875,0.013113241133069059
GBM_grid__1_AutoML_20200514_172539_model_123,0.05343862425335976,0.01539201539201539,0.11586951828931577,0.013425745268598086
GBM_grid__1_AutoML_20200514_172539_model_54,0.05364538000950959,0.01539201539201539,0.1129085967187518,0.012748351212997729
GBM_grid__1_AutoML_20200514_172539_model_116,0.05372468165869889,0.015873015873015872,0.11594940452529902,0.013444264409771426
GBM_grid__1_AutoML_20200514_172539_model_80,0.05389342450080732,0.015873015873015872,0.1146099804070492,0.013135447608904198
GBM_5_AutoML_20200514_172539,0.05393187748356803,0.016354016354016353,0.1162516719519186,0.0135144512316165
GBM_grid__1_AutoML_20200514_172539_model_45,0.05398766695108539,0.016835016835016838,0.11603340378368793,0.01346375079362836
XGBoost_grid__1_AutoML_20200514_172539_model_4,0.054092785114750484,0.014911014911014913,0.12112054198254492,0.014670185690145431
GBM_grid__1_AutoML_20200514_172539_model_4,0.05425815660604015,0.018278018278018282,0.1208115480858192,0.0145954301508922
GBM_grid__1_AutoML_20200514_172539_model_44,0.054307546212908266,0.018278018278018275,0.12055425318786032,0.014533327961682732
GBM_grid__1_AutoML_20200514_172539_model_37,0.05432355448104558,0.016835016835016838,0.11614283431243375,0.01348915796212544
GBM_grid__1_AutoML_20200514_172539_model_1,0.05444757511043015,0.015873015873015872,0.11574636510546756,0.013397221035128198
GBM_grid__1_AutoML_20200514_172539_model_124,0.05464212070047906,0.016835016835016838,0.1179460006920892,0.013911259079258307
GBM_grid__1_AutoML_20200514_172539_model_31,0.05465140621086344,0.017797017797017794,0.11792623690543033,0.013906597350675676
GBM_grid__1_AutoML_20200514_172539_model_66,0.05466495497151249,0.014911014911014913,0.11479333415955392,0.01317750956746701
GBM_grid__1_AutoML_20200514_172539_model_101,0.054846511547472866,0.015873015873015872,0.11685591175105473,0.01365530411117029
GBM_grid__1_AutoML_20200514_172539_model_60,0.054962956070630016,0.014911014911014913,0.11643245731087995,0.01355651711544988
GBM_grid__1_AutoML_20200514_172539_model_23,0.05500914277922765,0.016835016835016838,0.116959424872551,0.0136795070665179
GBM_grid__1_AutoML_20200514_172539_model_10,0.055249385097330114,0.01875901875901876,0.11690319851256782,0.01366635782246884
GBM_grid__1_AutoML_20200514_172539_model_88,0.055297985602300564,0.01972101972101972,0.1224793020320895,0.015001179426267804
GBM_grid__1_AutoML_20200514_172539_model_14,0.05530314272109448,0.01875901875901876,0.11973108586234572,0.014335532921776403
