model_id,logloss,mean_per_class_error,rmse,mse
GBM_grid__1_AutoML_20200515_000604_model_6,0.0011969912989701116,0.06762258470607578,0.013369242034713428,0.00017873663258274842
GBM_2_AutoML_20200515_000604,0.001213586974951316,0.06762258470607578,0.012856354622067629,0.0001652858541683597
GBM_3_AutoML_20200515_000604,0.0012160903965735567,0.06855022849086241,0.01330703081046146,0.00017707706899057062
GBM_4_AutoML_20200515_000604,0.0012305996757034036,0.06762258470607578,0.013007815741850394,0.00016920327037393094
GBM_grid__1_AutoML_20200515_000604_model_2,0.0015692300611955734,0.1161514479378325,0.015490983884935637,0.0002399705817233356
GBM_grid__1_AutoML_20200515_000604_model_10,0.0015758394129589935,0.2295451747829152,0.0176321539554251,0.00031089285310781297
GBM_grid__1_AutoML_20200515_000604_model_9,0.0015780833276645284,0.14487469767247446,0.017316032177585167,0.00029984497037516505
GBM_grid__1_AutoML_20200515_000604_model_11,0.0015971627792438613,0.15492417200766306,0.016913199134918316,0.00028605630497740165
GBM_grid__1_AutoML_20200515_000604_model_13,0.001628861145906168,0.17964002940238102,0.017582651928830125,0.0003091496488503937
GBM_grid__1_AutoML_20200515_000604_model_1,0.0016631584978369332,0.15201755481533158,0.017371125189665042,0.00030175599035501535
GBM_grid__1_AutoML_20200515_000604_model_12,0.00174279168338061,0.2733264793973297,0.019724522789091828,0.0003890567992574028
XGBoost_grid__1_AutoML_20200515_000604_model_9,0.0017647491094017421,0.19458888351812526,0.01740424513233932,0.00030290774862655684
GBM_grid__1_AutoML_20200515_000604_model_7,0.001792341373451037,0.22346047238846556,0.019550632190335208,0.0003822272190417714
GBM_1_AutoML_20200515_000604,0.001837636550095011,0.1390784367999721,0.01642305629141462,0.00026971677795097337
GBM_grid__1_AutoML_20200515_000604_model_14,0.0018661174760506245,0.17077587768108646,0.01630660040546107,0.00026590521678338306
XGBoost_grid__1_AutoML_20200515_000604_model_5,0.0018728608313414192,0.19644068906018355,0.01852474294225877,0.0003431661010767665
GBM_grid__1_AutoML_20200515_000604_model_5,0.001908246227903699,0.23536523429322745,0.019386431537511368,0.00037583372775861537
GBM_grid__1_AutoML_20200515_000604_model_4,0.001931162140220859,0.23126298733383766,0.020113171728240075,0.00040453967696967583
XGBoost_grid__1_AutoML_20200515_000604_model_1,0.0020941884390367387,0.1946175758072503,0.018013548811638618,0.0003244879407892871
GBM_grid__1_AutoML_20200515_000604_model_8,0.0022031993856813587,0.18191178101930505,0.01811516419549401,0.00032815917382970813
XGBoost_grid__1_AutoML_20200515_000604_model_4,0.0022033957390516505,0.19458191946309528,0.017591181986394658,0.0003094496836784561
XGBoost_3_AutoML_20200515_000604,0.002249770288812997,0.2550854456641238,0.019292088924565885,0.0003721846950733576
XGBoost_grid__1_AutoML_20200515_000604_model_13,0.0022527270170554898,0.2550368547992064,0.018966786151584,0.00035973897691991857
XGBoost_grid__1_AutoML_20200515_000604_model_7,0.002507158104376739,0.1946210578347653,0.01836432822531778,0.0003372485511672033
GBM_5_AutoML_20200515_000604,0.00254573010022026,0.2251920741200673,0.022587813245364376,0.0005102093072074583
XGBoost_grid__1_AutoML_20200515_000604_model_2,0.002601863198840566,0.2660318010912592,0.0213911236290074,0.00045758017011147863
GBM_grid__1_AutoML_20200515_000604_model_3,0.002616843908843429,0.2114498528178096,0.02320958245729047,0.0005386847178417655
XGBoost_grid__1_AutoML_20200515_000604_model_11,0.0027116379135484073,0.26884549513845896,0.02230442848193304,0.0004974875299056657
XGBoost_grid__1_AutoML_20200515_000604_model_12,0.002726986872082161,0.25699280612612946,0.02209336422940437,0.0004881167429731248
XGBoost_grid__1_AutoML_20200515_000604_model_8,0.003134134844181785,0.2926277382826579,0.023606575537127233,0.0005572704085900936
XGBoost_1_AutoML_20200515_000604,0.003172414990552768,0.26989163085267304,0.02348831884895388,0.0005517011223501218
XGBoost_grid__1_AutoML_20200515_000604_model_3,0.0033422226210958928,0.2570319444977995,0.0230584451725931,0.0005316918937774821
XGBoost_2_AutoML_20200515_000604,0.004208182276271136,0.2946248983849658,0.02624846666113574,0.0006889820020607544
XGBoost_grid__1_AutoML_20200515_000604_model_6,0.0044137618530373035,0.2955906869521249,0.026773518244577785,0.0007168212791927393
XGBoost_grid__1_AutoML_20200515_000604_model_10,0.005530708514280794,0.3189760643675363,0.030276683205142464,0.0009166775459045557
StackedEnsemble_AllModels_AutoML_20200515_000604,0.006573912608519891,0.2948533874728819,0.024949310629528442,0.000622468100888701
DRF_1_AutoML_20200515_000604,0.007259648764781198,0.24407756485130866,0.02183496790710071,0.0004767658235041182
StackedEnsemble_BestOfFamily_AutoML_20200515_000604,0.00786581514121679,0.30754831814377964,0.02862119332724094,0.0008191727074753013
XRT_1_AutoML_20200515_000604,0.008301372973476882,0.2321728029465468,0.022545599957755656,0.0005083040774551519
DeepLearning_grid__2_AutoML_20200515_000604_model_1,0.029871052728076414,0.3718546326150105,0.04922801569056999,0.002423397528831005
DeepLearning_grid__1_AutoML_20200515_000604_model_1,0.030136824408907418,0.3736920401842755,0.04531805986590915,0.002053726550010125
XGBoost_grid__1_AutoML_20200515_000604_model_14,0.030263029220950245,0.4167794448370157,0.0495172418130006,0.002451957236767175
DeepLearning_grid__3_AutoML_20200515_000604_model_1,0.06906061735967177,0.3877501126973888,0.10305594610461216,0.010620528027516727
DeepLearning_1_AutoML_20200515_000604,0.0716226864754122,0.5761752033986277,0.0895908490972063,0.008026520241958391
GBM_grid__1_AutoML_20200515_000604_model_15,0.1102775845164153,0.2884163910604363,0.11107046596436526,0.012336648409541224
GLM_1_AutoML_20200515_000604,0.14263212607761866,0.5465591134430894,0.18581550741168448,0.034527402794661766
DeepLearning_grid__1_AutoML_20200515_000604_model_3,0.1690386028233807,0.5717855222627379,0.15779479091148424,0.024899196038799032
DeepLearning_grid__2_AutoML_20200515_000604_model_3,0.18745808444349604,0.5995855935948763,0.17234791206439085,0.029703802792955005
DeepLearning_grid__1_AutoML_20200515_000604_model_2,0.20430078214281186,0.517978542545014,0.1593292475350489,0.025385809120084885
DeepLearning_grid__1_AutoML_20200515_000604_model_4,0.2584129134852283,0.611333148894574,0.2157723288716342,0.04655769790668866
DeepLearning_grid__2_AutoML_20200515_000604_model_2,0.3501760272245379,0.5782442522525173,0.2088005579369119,0.04359767299476572
XGBoost_grid__1_AutoML_20200515_000604_model_15,0.3530952013939689,0.33867586046737125,0.2976079210477518,0.08857047467036486
DeepLearning_grid__3_AutoML_20200515_000604_model_3,0.4805624100058793,0.6387351211152689,0.2542535274708778,0.06464485623138443
GBM_grid__1_AutoML_20200515_000604_model_16,0.5727765707474435,0.3267724699177953,0.4365859901773091,0.19060732681910145
DeepLearning_grid__3_AutoML_20200515_000604_model_2,0.7008067586018399,0.6257952617197954,0.2471498651843804,0.06108305586065739
GBM_grid__1_AutoML_20200515_000604_model_17,0.9660925746155964,0.4554121490249517,0.6183906674624022,0.3824070176045953
XGBoost_grid__1_AutoML_20200515_000604_model_16,1.0217291576601168,0.38873618810609534,0.6397311082601352,0.4092558908757408
GBM_grid__1_AutoML_20200515_000604_model_18,1.526118664011244,0.7244329272750226,0.7805522246784131,0.6092617754504199
