model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
GBM_grid__1_AutoML_20200514_172851_model_22,0.9874551533018646,0.1502782111458348,0.9849697852660464,0.05096673207496054,0.20346258918047488,0.04139702519602268
GBM_grid__1_AutoML_20200514_172851_model_28,0.9872149988805964,0.1450763928390955,0.9845998133218996,0.04945111592318821,0.2021514105411465,0.04086519278377515
StackedEnsemble_BestOfFamily_AutoML_20200514_172851,0.9869803003764585,0.14241479814333408,0.9847208198542782,0.0485832488293295,0.1973233256564279,0.0389364948481127
GBM_grid__1_AutoML_20200514_172851_model_16,0.98646208231662,0.14402733646152766,0.9830398767573436,0.05379205054060614,0.20286151016378076,0.04115279230592971
GBM_grid__1_AutoML_20200514_172851_model_23,0.9861342569511206,0.1455196080156953,0.983104727754424,0.05140414612074885,0.2027444160993657,0.04110529825947273
GBM_grid__1_AutoML_20200514_172851_model_6,0.9856600624984716,0.14422721324570242,0.9825081577698008,0.05183958474826587,0.2013821585065212,0.040554773764745616
StackedEnsemble_AllModels_AutoML_20200514_172851,0.9856242227669778,0.14171832614706192,0.9819014632582732,0.04988702488838888,0.19797021364407494,0.03919220549028068
GBM_grid__1_AutoML_20200514_172851_model_17,0.9853608336641376,0.14322784180483975,0.9807623142451136,0.05379035732494501,0.20188599935309004,0.04075795673479587
GBM_4_AutoML_20200514_172851,0.9851608460810524,0.1472856382051479,0.9820031559290272,0.050751881821072264,0.20321454681243686,0.041296152036184086
XGBoost_grid__1_AutoML_20200514_172851_model_42,0.9850729870017476,0.16191243698413008,0.9823230039789792,0.05096898969584203,0.20577785618861671,0.04234452609758304
GBM_3_AutoML_20200514_172851,0.9848313274998918,0.14688343752042332,0.9805408278654352,0.053573155382638515,0.2045358773711996,0.0418349251320064
GBM_grid__1_AutoML_20200514_172851_model_24,0.984826435987982,0.14944747207602158,0.9805151246549778,0.050753010631513,0.20295619693472827,0.0411912178742082
GBM_2_AutoML_20200514_172851,0.9845433867699652,0.14690622993901825,0.9806302634863162,0.05466001170200157,0.2051820707254583,0.04209968214718697
GBM_grid__1_AutoML_20200514_172851_model_13,0.9842851713816452,0.15561492171020838,0.9802214184222215,0.055956262358122635,0.20939604245030632,0.04384670259385049
