model_id,logloss,mean_per_class_error,rmse,mse
StackedEnsemble_BestOfFamily_AutoML_20200514_175355,0.35563067196640824,0.17273083406567236,0.34314100122813695,0.11774574672384833
DeepLearning_grid__1_AutoML_20200514_175355_model_6,0.38137553725864015,0.19482236495441455,0.3565103278406189,0.1270996138570256
DeepLearning_grid__1_AutoML_20200514_175355_model_11,0.4033709193239511,0.19266690958327365,0.3634080751559951,0.13206542908858535
GLM_1_AutoML_20200514_175355,0.4101716400942968,0.18686161726900605,0.3718152172116783,0.13824655575016748
DeepLearning_grid__2_AutoML_20200514_175355_model_6,0.4263394064016083,0.2130343254665301,0.3828326166291112,0.14656081235509197
DeepLearning_grid__1_AutoML_20200514_175355_model_1,0.4340372193159295,0.2082492519076132,0.3804466097922476,0.14473962290241468
DeepLearning_grid__1_AutoML_20200514_175355_model_9,0.43581964873978396,0.2054625231071916,0.3712711544453445,0.13784227012317882
GBM_grid__1_AutoML_20200514_175355_model_4,0.4445056485624531,0.21561676003826366,0.3900942830420247,0.15217354966207122
GBM_grid__1_AutoML_20200514_175355_model_7,0.4470758603862158,0.22077115568934155,0.39136098269814296,0.1531634187784562
DeepLearning_grid__1_AutoML_20200514_175355_model_15,0.4508332857820138,0.21459668630432616,0.3826441588799114,0.14641655232491488
GBM_grid__1_AutoML_20200514_175355_model_5,0.4516327433960616,0.23094047714325536,0.3945921092230381,0.155702932661086
GBM_grid__1_AutoML_20200514_175355_model_10,0.4522893150670802,0.22071091612835408,0.3945362759446734,0.15565887303629147
DeepLearning_grid__1_AutoML_20200514_175355_model_10,0.4527670681726892,0.21560370409331853,0.3867128602300901,0.1495468362673372
GBM_grid__1_AutoML_20200514_175355_model_1,0.4619305377914486,0.2223904561813476,0.3997587143959973,0.15980702973554048
GBM_2_AutoML_20200514_175355,0.4689000791297706,0.2210271984561334,0.3977072071277257,0.15817102260133575
DeepLearning_grid__1_AutoML_20200514_175355_model_8,0.4702725648080607,0.2378248900565498,0.3980304303749806,0.1584282235044923
GBM_grid__1_AutoML_20200514_175355_model_8,0.4734867865482866,0.2299537675178023,0.40277562544781853,0.1622282044548815
GBM_grid__1_AutoML_20200514_175355_model_6,0.4758933196479142,0.22358410122363026,0.4011441758879039,0.16091664984878554
DeepLearning_grid__2_AutoML_20200514_175355_model_1,0.4788699656777043,0.2170494332769793,0.3971935368340698,0.1577627057027576
StackedEnsemble_AllModels_AutoML_20200514_175355,0.4820524892133154,0.1945185060639384,0.4028866666115346,0.16231766613335386
XGBoost_grid__1_AutoML_20200514_175355_model_2,0.4823440992339631,0.2210612474942481,0.4032334002294213,0.16259717506058066
DeepLearning_grid__3_AutoML_20200514_175355_model_1,0.4823871433165426,0.21540732845470584,0.3935662882187983,0.15489442322232225
GBM_3_AutoML_20200514_175355,0.483868187040572,0.22998781655591705,0.4035112606366495,0.16282133746057806
GBM_grid__1_AutoML_20200514_175355_model_9,0.4947828602015151,0.233826111886829,0.4055673412820059,0.16448486831455505
GBM_4_AutoML_20200514_175355,0.4947988784326107,0.2297723901162037,0.40619989246613225,0.1649983526394974
XGBoost_grid__1_AutoML_20200514_175355_model_7,0.5029396253210946,0.2247450146650704,0.4041409111833907,0.1633298760921413
XGBoost_3_AutoML_20200514_175355,0.5030796725045769,0.2314997200818873,0.4112328690621092,0.16911247259705384
GBM_1_AutoML_20200514_175355,0.5063958925449413,0.2428476282662361,0.4132765567017215,0.17079751231923124
GBM_grid__1_AutoML_20200514_175355_model_2,0.5094503404758058,0.2181926535320275,0.4083693776988223,0.16676554864212334
XGBoost_1_AutoML_20200514_175355,0.5113214560209471,0.22993477679153526,0.4127870448353332,0.17039314438388736
XGBoost_grid__1_AutoML_20200514_175355_model_3,0.5157241022661321,0.237855645501484,0.4154489850433435,0.17259785917354425
XGBoost_grid__1_AutoML_20200514_175355_model_1,0.5157874293831936,0.23898248369381525,0.41177081379674096,0.1695552030948303
XGBoost_2_AutoML_20200514_175355,0.5173505361196883,0.2315743854470805,0.42051182924628944,0.17683019853606047
XGBoost_grid__1_AutoML_20200514_175355_model_6,0.5185299017232303,0.2326259257665767,0.4203801953417182,0.17671950863554114
DeepLearning_grid__1_AutoML_20200514_175355_model_4,0.5193695530755736,0.23904404069207494,0.3964839507964047,0.1571995232391259
XGBoost_grid__1_AutoML_20200514_175355_model_5,0.5212077461180401,0.2326062763216735,0.4236632087309458,0.17949051443220096
