id,task,framework,fold,result,mode,version,params,tag,utc,duration,models,seed,info,acc,auc,logloss,models_ensemble_count,predict_duration
openml.org/t/7592,adult,AutoGluon,2,0.93122,aws.docker,0.0.9,,stable,2020-05-14T02:04:36,111.7,11,1,,0.874079,0.93122,,5,0.24561
openml.org/t/7592,adult,AutoGluon,0,0.93192,aws.docker,0.0.9,,stable,2020-05-14T02:04:37,136.8,11,1,,0.879836,0.93192,,5,0.592683
openml.org/t/7592,adult,AutoGluon,3,0.926993,aws.docker,0.0.9,,stable,2020-05-14T02:05:04,116.8,11,1,,0.869984,0.926993,,5,0.239765
openml.org/t/7592,adult,AutoGluon,1,0.927528,aws.docker,0.0.9,,stable,2020-05-14T02:05:00,144.5,11,1,,0.874923,0.927528,,5,0.604791
openml.org/t/7592,adult,AutoGluon,4,0.927617,aws.docker,0.0.9,,stable,2020-05-14T02:05:29,133.9,11,1,,0.874898,0.927617,,5,0.240293
openml.org/t/7592,adult,AutoGluon,5,0.92439,aws.docker,0.0.9,,stable,2020-05-14T02:05:38,122.1,11,1,,0.871826,0.92439,,4,0.134911
openml.org/t/34539,Amazon_employee_access,AutoGluon,0,0.912577,aws.docker,0.0.9,,stable,2020-05-14T02:06:15,90.7,9,1,,0.953311,0.912577,,4,0.261805
openml.org/t/7592,adult,AutoGluon,6,0.931017,aws.docker,0.0.9,,stable,2020-05-14T02:05:54,121.8,11,1,,0.871622,0.931017,,4,0.13454
openml.org/t/7592,adult,AutoGluon,8,0.938325,aws.docker,0.0.9,,stable,2020-05-14T02:06:11,110.9,11,1,,0.882473,0.938325,,4,0.128461
openml.org/t/34539,Amazon_employee_access,AutoGluon,1,0.894537,aws.docker,0.0.9,,stable,2020-05-14T02:06:25,85.7,9,1,,0.956973,0.894537,,7,1.46843
openml.org/t/7592,adult,AutoGluon,7,0.933147,aws.docker,0.0.9,,stable,2020-05-14T02:06:11,130.0,11,1,,0.876945,0.933147,,4,0.128734
openml.org/t/7592,adult,AutoGluon,9,0.934344,aws.docker,0.0.9,,stable,2020-05-14T02:06:29,120.0,11,1,,0.880426,0.934344,,5,0.25579
openml.org/t/34539,Amazon_employee_access,AutoGluon,2,0.8927,aws.docker,0.0.9,,stable,2020-05-14T02:06:43,88.9,9,1,,0.95209,0.8927,,3,1.07903
openml.org/t/34539,Amazon_employee_access,AutoGluon,4,0.900562,aws.docker,0.0.9,,stable,2020-05-14T02:07:05,80.5,9,1,,0.958804,0.900562,,6,1.83796
openml.org/t/34539,Amazon_employee_access,AutoGluon,3,0.892267,aws.docker,0.0.9,,stable,2020-05-14T02:07:08,95.0,9,1,,0.953311,0.892267,,3,1.09555
openml.org/t/34539,Amazon_employee_access,AutoGluon,5,0.889561,aws.docker,0.0.9,,stable,2020-05-14T02:07:31,89.6,9,1,,0.952701,0.889561,,4,0.331681
openml.org/t/34539,Amazon_employee_access,AutoGluon,6,0.880919,aws.docker,0.0.9,,stable,2020-05-14T02:07:43,91.2,9,1,,0.959109,0.880919,,4,1.23561
openml.org/t/34539,Amazon_employee_access,AutoGluon,7,0.890428,aws.docker,0.0.9,,stable,2020-05-14T02:07:58,88.8,9,1,,0.956973,0.890428,,4,1.09641
openml.org/t/34539,Amazon_employee_access,AutoGluon,8,0.921675,aws.docker,0.0.9,,stable,2020-05-14T02:08:08,86.1,9,1,,0.956668,0.921675,,5,1.30258
