id,task,framework,fold,result,mode,version,params,tag,utc,duration,models,seed,info,models_ensemble_count,predict_duration,r2,rmse
openml.org/t/4862,houses,AutoGluon,2,41613.5,aws.docker,0.0.9,,stable,2020-05-16T12:23:46,107.9,9,1,,6,0.712887,0.870653,41613.5
openml.org/t/4862,houses,AutoGluon,3,41167.5,aws.docker,0.0.9,,stable,2020-05-16T12:24:04,108.5,9,1,,6,0.501264,0.870478,41167.5
openml.org/t/4862,houses,AutoGluon,1,44833.9,aws.docker,0.0.9,,stable,2020-05-16T12:24:12,139.3,9,1,,5,0.54756,0.845495,44833.9
openml.org/t/4862,houses,AutoGluon,7,44523.3,aws.docker,0.0.9,,stable,2020-05-16T12:24:18,85.7,9,1,,6,0.506957,0.840679,44523.3
openml.org/t/4862,houses,AutoGluon,4,44494.4,aws.docker,0.0.9,,stable,2020-05-16T12:23:59,98.9,9,1,,4,0.38682,0.854277,44494.4
openml.org/t/4862,houses,AutoGluon,5,45676.4,aws.docker,0.0.9,,stable,2020-05-16T12:24:23,111.7,9,1,,5,0.449545,0.855741,45676.4
openml.org/t/4862,houses,AutoGluon,0,41827.8,aws.docker,0.0.9,,stable,2020-05-16T12:24:33,94.6,9,1,,6,0.533806,0.866651,41827.8
openml.org/t/4862,houses,AutoGluon,8,44262.3,aws.docker,0.0.9,,stable,2020-05-16T12:24:32,91.5,9,1,,4,0.178257,0.852718,44262.3
openml.org/t/4862,houses,AutoGluon,9,41546.5,aws.docker,0.0.9,,stable,2020-05-16T12:25:02,94.8,9,1,,6,0.48279,0.87356,41546.5
openml.org/t/4885,fried,AutoGluon,0,1.0027,aws.docker,0.0.9,,stable,2020-05-16T12:25:19,110.5,9,1,,4,0.135135,0.959451,1.0027
openml.org/t/4885,fried,AutoGluon,1,1.0168,aws.docker,0.0.9,,stable,2020-05-16T12:25:19,105.7,9,1,,5,0.145926,0.959347,1.0168
openml.org/t/4885,fried,AutoGluon,2,1.02034,aws.docker,0.0.9,,stable,2020-05-16T12:25:15,90.7,9,1,,5,0.154803,0.957346,1.02034
openml.org/t/4862,houses,AutoGluon,6,46954.2,aws.docker,0.0.9,,stable,2020-05-16T12:25:27,169.4,9,1,,6,0.507025,0.83037,46954.2
openml.org/t/4885,fried,AutoGluon,3,1.01879,aws.docker,0.0.9,,stable,2020-05-16T12:25:37,94.9,9,1,,4,0.132505,0.958466,1.01879
openml.org/t/4885,fried,AutoGluon,4,1.01439,aws.docker,0.0.9,,stable,2020-05-16T12:25:57,104.8,9,1,,4,0.137342,0.958936,1.01439
openml.org/t/4885,fried,AutoGluon,6,1.0421,aws.docker,0.0.9,,stable,2020-05-16T12:26:10,100.1,9,1,,6,2.05062,0.95642,1.0421
