id,task,framework,fold,result,mode,version,params,tag,utc,duration,models,seed,info,acc,auc,logloss
openml.org/t/7592,adult,autosklearn,0,0.932517,aws.docker,0.6.0,,stable,2020-04-07T22:09:52,14408.6,12,1,,0.874104,0.932517,
openml.org/t/7592,adult,autosklearn,5,0.923077,aws.docker,0.6.0,,stable,2020-04-07T22:10:08,14398.7,10,1,,0.869165,0.923077,
openml.org/t/7592,adult,autosklearn,2,,aws.docker,0.6.0,,stable,2020-04-07T22:09:59,14416.7,,1,NoResultError: Expecting ':' delimiter: line 1 column 245278 (char 245277),,,
openml.org/t/7592,adult,autosklearn,3,0.923268,aws.docker,0.6.0,,stable,2020-04-07T22:10:02,14398.4,10,1,,0.867731,0.923268,
openml.org/t/7592,adult,autosklearn,1,0.92849,aws.docker,0.6.0,,stable,2020-04-07T22:09:57,14412.2,6,1,,0.876356,0.92849,
openml.org/t/7592,adult,autosklearn,4,0.926749,aws.docker,0.6.0,,stable,2020-04-07T22:10:26,14409.4,11,1,,0.876126,0.926749,
openml.org/t/34539,Amazon_employee_access,autosklearn,4,,aws.docker,0.6.0,,stable,2020-04-07T22:10:56,14403.5,,1,"NoResultError: Expecting ',' delimiter: line 1 column 8245 (char 8244)",,,
openml.org/t/34539,Amazon_employee_access,autosklearn,3,0.855319,aws.docker,0.6.0,,stable,2020-04-07T22:10:46,14398.6,9,1,,0.944461,0.855319,
openml.org/t/7592,adult,autosklearn,6,0.932037,aws.docker,0.6.0,,stable,2020-04-07T22:10:21,14408.5,11,1,,0.87285,0.932037,
openml.org/t/7592,adult,autosklearn,8,0.938683,aws.docker,0.6.0,,stable,2020-04-07T22:10:47,14399.8,8,1,,0.883497,0.938683,
openml.org/t/7592,adult,autosklearn,9,0.933103,aws.docker,0.6.0,,stable,2020-04-07T22:10:34,14404.2,11,1,,0.878174,0.933103,
openml.org/t/34539,Amazon_employee_access,autosklearn,1,0.854175,aws.docker,0.6.0,,stable,2020-04-07T22:11:02,14399.4,9,1,,0.945987,0.854175,
openml.org/t/34539,Amazon_employee_access,autosklearn,9,0.867911,aws.docker,0.6.0,,stable,2020-04-07T22:11:22,14400.1,11,1,,0.901709,0.867911,
openml.org/t/7592,adult,autosklearn,7,0.931777,aws.docker,0.6.0,,stable,2020-04-07T22:11:14,14411.1,8,1,,0.878583,0.931777,
openml.org/t/34539,Amazon_employee_access,autosklearn,0,0.873899,aws.docker,0.6.0,,stable,2020-04-07T22:11:13,14412.8,11,1,,0.950565,0.873899,
openml.org/t/34539,Amazon_employee_access,autosklearn,5,0.870948,aws.docker,0.6.0,,stable,2020-04-07T22:11:24,14404.3,10,1,,0.949344,0.870948,
openml.org/t/34539,Amazon_employee_access,autosklearn,7,0.83519,aws.docker,0.6.0,,stable,2020-04-07T22:11:54,14399.7,10,1,,0.949649,0.83519,
openml.org/t/168868,APSFailure,autosklearn,1,0.992204,aws.docker,0.6.0,,stable,2020-04-07T22:12:02,14397.1,3,1,,0.992237,0.992204,
openml.org/t/14965,bank-marketing,autosklearn,1,0.933686,aws.docker,0.6.0,,stable,2020-04-07T22:12:23,14397.8,13,1,,0.905331,0.933686,
openml.org/t/168868,APSFailure,autosklearn,4,0.989142,aws.docker,0.6.0,,stable,2020-04-07T22:12:25,14396.9,9,1,,0.994605,0.989142,
openml.org/t/168868,APSFailure,autosklearn,3,0.988644,aws.docker,0.6.0,,stable,2020-04-07T22:12:16,14396.5,8,1,,0.994868,0.988644,
openml.org/t/14965,bank-marketing,autosklearn,3,0.937629,aws.docker,0.6.0,,stable,2020-04-07T22:12:27,14401.7,11,1,,0.912188,0.937629,
openml.org/t/168868,APSFailure,autosklearn,5,0.994596,aws.docker,0.6.0,,stable,2020-04-07T22:12:33,14400.6,5,1,,0.993289,0.994596,
openml.org/t/168868,APSFailure,autosklearn,0,0.992425,aws.docker,0.6.0,,stable,2020-04-07T22:12:11,14397.7,11,1,,0.994868,0.992425,
openml.org/t/34539,Amazon_employee_access,autosklearn,2,0.847447,aws.docker,0.6.0,,stable,2020-04-07T22:12:24,14415.4,11,1,,0.945377,0.847447,
openml.org/t/34539,Amazon_employee_access,autosklearn,8,0.881369,aws.docker,0.6.0,,stable,2020-04-07T22:12:34,14398.9,14,1,,0.949954,0.881369,
openml.org/t/168868,APSFailure,autosklearn,2,0.994166,aws.docker,0.6.0,,stable,2020-04-07T22:12:32,14396.3,14,1,,0.993816,0.994166,
openml.org/t/168868,APSFailure,autosklearn,6,0.992758,aws.docker,0.6.0,,stable,2020-04-07T22:12:45,14396.8,13,1,,0.995132,0.992758,
openml.org/t/14965,bank-marketing,autosklearn,0,0.937434,aws.docker,0.6.0,,stable,2020-04-07T22:12:31,14397.0,11,1,,0.907563,0.937434,
openml.org/t/14965,bank-marketing,autosklearn,2,0.943271,aws.docker,0.6.0,,stable,2020-04-07T22:12:38,14396.7,6,1,,0.912409,0.943271,
openml.org/t/14965,bank-marketing,autosklearn,8,0.939131,aws.docker,0.6.0,,stable,2020-04-07T22:12:55,14396.6,8,1,,0.915284,0.939131,
openml.org/t/14965,bank-marketing,autosklearn,4,0.940812,aws.docker,0.6.0,,stable,2020-04-07T22:12:47,14406.4,12,1,,0.907764,0.940812,
openml.org/t/168868,APSFailure,autosklearn,7,0.989632,aws.docker,0.6.0,,stable,2020-04-07T22:12:41,14396.7,9,1,,0.994211,0.989632,
openml.org/t/168868,APSFailure,autosklearn,9,0.989949,aws.docker,0.6.0,,stable,2020-04-07T22:12:55,14395.6,11,1,,0.994342,0.989949,
openml.org/t/168868,APSFailure,autosklearn,8,0.989124,aws.docker,0.6.0,,stable,2020-04-07T22:12:48,14396.3,5,1,,0.993553,0.989124,
openml.org/t/34539,Amazon_employee_access,autosklearn,6,,aws.docker,0.6.0,,stable,2020-04-07T22:12:36,14476.1,,1,"NoResultError: found prediction probability value outside of [0, 1]!",,,
openml.org/t/14965,bank-marketing,autosklearn,5,0.930823,aws.docker,0.6.0,,stable,2020-04-07T22:12:48,14404.7,15,1,,0.903782,0.930823,
openml.org/t/14965,bank-marketing,autosklearn,7,,aws.docker,0.6.0,,stable,2020-04-07T22:12:53,14408.9,,1,"NoResultError: Expecting ',' delimiter: line 1 column 48527 (char 48526)",,,
openml.org/t/146195,connect-4,autosklearn,2,0.330736,aws.docker,0.6.0,,stable,2020-04-07T22:13:24,14403.1,10,1,,0.870634,,0.330736
openml.org/t/14965,bank-marketing,autosklearn,6,0.924794,aws.docker,0.6.0,,stable,2020-04-07T22:13:27,14399.0,9,1,,0.90334,0.924794,
openml.org/t/146195,connect-4,autosklearn,0,0.359742,aws.docker,0.6.0,,stable,2020-04-07T22:13:18,14401.4,7,1,,0.857904,,0.359742
openml.org/t/14965,bank-marketing,autosklearn,9,0.945496,aws.docker,0.6.0,,stable,2020-04-07T22:13:27,14408.6,20,1,,0.91263,0.945496,
openml.org/t/146195,connect-4,autosklearn,3,0.359864,aws.docker,0.6.0,,stable,2020-04-07T22:13:34,14409.9,8,1,,0.861308,,0.359864
openml.org/t/146195,connect-4,autosklearn,8,0.352298,aws.docker,0.6.0,,stable,2020-04-07T22:14:03,14404.8,5,1,,0.865433,,0.352298
openml.org/t/146195,connect-4,autosklearn,5,0.344633,aws.docker,0.6.0,,stable,2020-04-07T22:13:54,14408.3,17,1,,0.862197,,0.344633
openml.org/t/146195,connect-4,autosklearn,1,0.361464,aws.docker,0.6.0,,stable,2020-04-07T22:14:06,14419.5,10,1,,0.857312,,0.361464
openml.org/t/146195,connect-4,autosklearn,7,0.353686,aws.docker,0.6.0,,stable,2020-04-07T22:14:06,14408.4,8,1,,0.861288,,0.353686
openml.org/t/146195,connect-4,autosklearn,9,0.366373,aws.docker,0.6.0,,stable,2020-04-07T22:14:03,14407.3,6,1,,0.858031,,0.366373
openml.org/t/146195,connect-4,autosklearn,4,0.347173,aws.docker,0.6.0,,stable,2020-04-07T22:14:04,14421.7,7,1,,0.864565,,0.347173
openml.org/t/146195,connect-4,autosklearn,6,0.361088,aws.docker,0.6.0,,stable,2020-04-07T22:14:20,14435.5,5,1,,0.857164,,0.361088
openml.org/t/168329,Helena,autosklearn,0,,aws.docker,0.6.0,,stable,2020-04-07T22:15:36,14413.0,,1,NoResultError: Expecting ':' delimiter: line 1 column 83515 (char 83514),,,
openml.org/t/168329,Helena,autosklearn,1,2.66522,aws.docker,0.6.0,,stable,2020-04-07T22:15:51,14400.5,4,1,,0.366564,,2.66522
openml.org/t/146825,Fashion-MNIST,autosklearn,0,0.264877,aws.docker,0.6.0,,stable,2020-04-07T22:16:25,14403.2,7,1,,0.904714,,0.264877
openml.org/t/146825,Fashion-MNIST,autosklearn,2,,aws.docker,0.6.0,,stable,2020-04-07T22:16:22,14543.5,,1,NoResultError: Expecting ':' delimiter: line 1 column 104175 (char 104174),,,
openml.org/t/146825,Fashion-MNIST,autosklearn,1,0.315219,aws.docker,0.6.0,,stable,2020-04-07T22:16:26,14397.5,10,1,,0.886571,,0.315219
openml.org/t/146825,Fashion-MNIST,autosklearn,5,0.270641,aws.docker,0.6.0,,stable,2020-04-07T22:16:43,14401.8,9,1,,0.897286,,0.270641
openml.org/t/146825,Fashion-MNIST,autosklearn,3,0.337789,aws.docker,0.6.0,,stable,2020-04-07T22:16:22,14399.1,2,1,,0.884571,,0.337789
openml.org/t/146825,Fashion-MNIST,autosklearn,4,0.29871,aws.docker,0.6.0,,stable,2020-04-07T22:16:38,14398.2,6,1,,0.887143,,0.29871
openml.org/t/168329,Helena,autosklearn,4,2.66547,aws.docker,0.6.0,,stable,2020-04-07T22:16:40,14435.2,5,1,,0.36411,,2.66547
openml.org/t/168329,Helena,autosklearn,2,2.69693,aws.docker,0.6.0,,stable,2020-04-07T22:16:26,14420.9,6,1,,0.358589,,2.69693
