id,task,framework,fold,result,mode,version,params,tag,utc,duration,models,seed,info,r2,rmse
openml.org/t/4862,houses,autosklearn,1,46786.4,aws.docker,0.6.0,,stable,2020-05-16T14:13:46,14408.4,14,1,,0.831744,46786.4
openml.org/t/4862,houses,autosklearn,2,42812.4,aws.docker,0.6.0,,stable,2020-05-16T14:13:59,14413.0,10,1,,0.863093,42812.4
openml.org/t/4862,houses,autosklearn,0,43079.7,aws.docker,0.6.0,,stable,2020-05-16T14:13:56,14429.9,11,1,,0.858549,43079.7
openml.org/t/4862,houses,autosklearn,5,45509.3,aws.docker,0.6.0,,stable,2020-05-16T14:14:32,14415.4,12,1,,0.856795,45509.3
openml.org/t/4862,houses,autosklearn,4,44407.7,aws.docker,0.6.0,,stable,2020-05-16T14:14:30,14405.5,9,1,,0.854844,44407.7
openml.org/t/4862,houses,autosklearn,6,48312.0,aws.docker,0.6.0,,stable,2020-05-16T14:14:33,14412.7,11,1,,0.820418,48312.0
openml.org/t/4862,houses,autosklearn,3,42376.5,aws.docker,0.6.0,,stable,2020-05-16T14:14:22,14428.5,11,1,,0.862759,42376.5
openml.org/t/4862,houses,autosklearn,8,44857.1,aws.docker,0.6.0,,stable,2020-05-16T14:15:03,14416.5,12,1,,0.848733,44857.1
openml.org/t/4862,houses,autosklearn,9,,aws.docker,0.6.0,,stable,2020-05-16T14:14:58,14408.2,,1,"NoResultError: Expecting ',' delimiter: line 1 column 8232 (char 8231)",,
openml.org/t/4885,fried,autosklearn,0,1.01175,aws.docker,0.6.0,,stable,2020-05-16T14:15:13,14401.1,11,1,,0.958716,1.01175
openml.org/t/4885,fried,autosklearn,2,1.01687,aws.docker,0.6.0,,stable,2020-05-16T14:15:28,14404.6,14,1,,0.957635,1.01687
openml.org/t/4885,fried,autosklearn,3,1.01859,aws.docker,0.6.0,,stable,2020-05-16T14:15:39,14402.0,18,1,,0.958482,1.01859
openml.org/t/4885,fried,autosklearn,1,1.02449,aws.docker,0.6.0,,stable,2020-05-16T14:15:37,14400.7,13,1,,0.95873,1.02449
openml.org/t/4885,fried,autosklearn,4,1.01827,aws.docker,0.6.0,,stable,2020-05-16T14:15:55,14404.5,12,1,,0.958621,1.01827
openml.org/t/4885,fried,autosklearn,5,0.994836,aws.docker,0.6.0,,stable,2020-05-16T14:15:59,14405.4,13,1,,0.960872,0.994836
openml.org/t/4885,fried,autosklearn,6,1.03974,aws.docker,0.6.0,,stable,2020-05-16T14:16:13,14399.8,9,1,,0.956617,1.03974
openml.org/t/4885,fried,autosklearn,7,1.03532,aws.docker,0.6.0,,stable,2020-05-16T14:16:21,14403.1,12,1,,0.956789,1.03532
openml.org/t/4885,fried,autosklearn,8,1.00382,aws.docker,0.6.0,,stable,2020-05-16T14:16:34,14405.6,10,1,,0.959921,1.00382
openml.org/t/4885,fried,autosklearn,9,1.0139,aws.docker,0.6.0,,stable,2020-05-16T14:16:45,14403.7,12,1,,0.958617,1.0139
