id,task,framework,fold,result,mode,version,params,tag,utc,duration,models,seed,info,r2,rmse
openml.org/t/4804,mtp2,H2OAutoML,1,0.131069,aws.docker,3.30.0.3,,stable,2020-05-16T06:31:59,7587.2,62,1,,0.553416,0.131069
openml.org/t/4804,mtp2,H2OAutoML,8,0.15051,aws.docker,3.30.0.3,,stable,2020-05-16T06:36:43,7799.6,68,1,,0.340704,0.15051
openml.org/t/4804,mtp2,H2OAutoML,3,0.114779,aws.docker,3.30.0.3,,stable,2020-05-16T06:38:31,7954.8,66,1,,0.428281,0.114779
openml.org/t/4804,mtp2,H2OAutoML,5,0.298802,aws.docker,3.30.0.3,,stable,2020-05-16T06:48:08,8514.6,65,1,,-1.28274,0.298802
openml.org/t/4804,mtp2,H2OAutoML,4,0.152748,aws.docker,3.30.0.3,,stable,2020-05-16T06:55:00,8935.9,73,1,,0.371607,0.152748
openml.org/t/4804,mtp2,H2OAutoML,0,0.142501,aws.docker,3.30.0.3,,stable,2020-05-16T07:00:33,9301.4,69,1,,0.224532,0.142501
openml.org/t/4804,mtp2,H2OAutoML,2,0.205143,aws.docker,3.30.0.3,,stable,2020-05-16T07:08:52,9786.7,69,1,,0.167179,0.205143
openml.org/t/166852,Moneyball,H2OAutoML,5,21.7822,aws.docker,3.30.0.3,,stable,2020-05-16T07:10:53,9780.8,334,1,,0.940471,21.7822
openml.org/t/166852,Moneyball,H2OAutoML,1,22.7465,aws.docker,3.30.0.3,,stable,2020-05-16T07:12:28,9910.3,191,1,,0.93486,22.7465
openml.org/t/166852,Moneyball,H2OAutoML,9,20.9252,aws.docker,3.30.0.3,,stable,2020-05-16T07:12:42,9850.4,201,1,,0.948927,20.9252
openml.org/t/166852,Moneyball,H2OAutoML,3,22.6758,aws.docker,3.30.0.3,,stable,2020-05-16T07:13:29,9956.5,264,1,,0.938616,22.6758
openml.org/t/166852,Moneyball,H2OAutoML,8,22.3846,aws.docker,3.30.0.3,,stable,2020-05-16T07:15:48,10045.9,140,1,,0.938367,22.3846
openml.org/t/4804,mtp2,H2OAutoML,9,0.144991,aws.docker,3.30.0.3,,stable,2020-05-16T07:16:45,10178.4,72,1,,0.189821,0.144991
openml.org/t/166852,Moneyball,H2OAutoML,0,20.8928,aws.docker,3.30.0.3,,stable,2020-05-16T07:17:01,10197.7,191,1,,0.947135,20.8928
openml.org/t/166852,Moneyball,H2OAutoML,7,22.3084,aws.docker,3.30.0.3,,stable,2020-05-16T07:17:41,10167.0,150,1,,0.941566,22.3084
openml.org/t/166852,Moneyball,H2OAutoML,2,22.7091,aws.docker,3.30.0.3,,stable,2020-05-16T07:17:43,10215.9,151,1,,0.93516,22.7091
openml.org/t/166852,Moneyball,H2OAutoML,6,21.456,aws.docker,3.30.0.3,,stable,2020-05-16T07:19:07,10261.7,259,1,,0.945307,21.456
openml.org/t/166852,Moneyball,H2OAutoML,4,22.3034,aws.docker,3.30.0.3,,stable,2020-05-16T07:21:01,10400.3,168,1,,0.945708,22.3034
openml.org/t/4804,mtp2,H2OAutoML,6,0.142837,aws.docker,3.30.0.3,,stable,2020-05-16T07:24:39,10695.6,73,1,,0.0856665,0.142837
openml.org/t/4804,mtp2,H2OAutoML,7,0.121871,aws.docker,3.30.0.3,,stable,2020-05-16T07:27:54,10879.8,82,1,,0.333461,0.121871
openml.org/t/2307,elevators,H2OAutoML,1,0.00197421,aws.docker,3.30.0.3,,stable,2020-05-16T07:38:12,11257.0,241,1,,0.917926,0.00197421
openml.org/t/2307,elevators,H2OAutoML,4,0.00202805,aws.docker,3.30.0.3,,stable,2020-05-16T07:38:58,11265.7,238,1,,0.914165,0.00202805
openml.org/t/2307,elevators,H2OAutoML,7,0.00203291,aws.docker,3.30.0.3,,stable,2020-05-16T07:39:04,11244.7,244,1,,0.910996,0.00203291
openml.org/t/2307,elevators,H2OAutoML,6,0.00187338,aws.docker,3.30.0.3,,stable,2020-05-16T07:39:59,11313.5,255,1,,0.918837,0.00187338
openml.org/t/2307,elevators,H2OAutoML,5,0.00204693,aws.docker,3.30.0.3,,stable,2020-05-16T07:43:57,11562.2,369,1,,0.896097,0.00204693
openml.org/t/211991,QSAR-TID-11140,H2OAutoML,1,0.680792,aws.docker,3.30.0.3,,stable,2020-05-16T07:47:18,11871.0,102,1,,0.723837,0.680792
openml.org/t/211991,QSAR-TID-11140,H2OAutoML,3,0.702496,aws.docker,3.30.0.3,,stable,2020-05-16T07:51:27,12131.0,130,1,,0.698881,0.702496
openml.org/t/2307,elevators,H2OAutoML,0,0.00208507,aws.docker,3.30.0.3,,stable,2020-05-16T07:51:50,12082.9,620,1,,0.908518,0.00208507
