id,task,framework,fold,result,mode,version,params,tag,utc,duration,models,seed,info,acc,auc,logloss
openml.org/t/168868,APSFailure,TPOT,7,0.994185,aws.docker,0.11.1,,stable,2020-04-09T13:30:16,10262.0,380,1,,0.993421,0.994185,
openml.org/t/168868,APSFailure,TPOT,6,0.991765,aws.docker,0.11.1,,stable,2020-04-09T13:45:52,11212.2,381,1,,0.994605,0.991765,
openml.org/t/168868,APSFailure,TPOT,4,0.987177,aws.docker,0.11.1,,stable,2020-04-09T13:57:20,11912.8,378,1,,0.993947,0.987177,
openml.org/t/168868,APSFailure,TPOT,8,0.986005,aws.docker,0.11.1,,stable,2020-04-09T14:21:44,13354.7,382,1,,0.993684,0.986005,
openml.org/t/7592,adult,TPOT,1,0.926163,aws.docker,0.11.1,,stable,2020-04-09T14:36:49,14426.0,1740,1,,0.874719,0.926163,
openml.org/t/34539,Amazon_employee_access,TPOT,2,0.859445,aws.docker,0.11.1,,stable,2020-04-09T14:37:36,14433.9,1609,1,,0.949344,0.859445,
openml.org/t/7592,adult,TPOT,0,0.930869,aws.docker,0.11.1,,stable,2020-04-09T14:37:29,14470.9,1503,1,,0.874719,0.930869,
openml.org/t/7592,adult,TPOT,2,0.928929,aws.docker,0.11.1,,stable,2020-04-09T14:37:51,14485.5,1312,1,,0.873669,0.928929,
openml.org/t/34539,Amazon_employee_access,TPOT,7,0.84421,aws.docker,0.11.1,,stable,2020-04-09T14:37:45,14416.0,1551,1,,0.949954,0.84421,
openml.org/t/34539,Amazon_employee_access,TPOT,3,0.873655,aws.docker,0.11.1,,stable,2020-04-09T14:38:04,14450.9,1595,1,,0.947513,0.873655,
openml.org/t/34539,Amazon_employee_access,TPOT,9,0.882111,aws.docker,0.11.1,,stable,2020-04-09T14:38:09,14427.8,1851,1,,0.952686,0.882111,
openml.org/t/34539,Amazon_employee_access,TPOT,4,0.862385,aws.docker,0.11.1,,stable,2020-04-09T14:38:18,14467.2,1661,1,,0.953006,0.862385,
openml.org/t/7592,adult,TPOT,9,0.931836,aws.docker,0.11.1,,stable,2020-04-09T14:38:01,14466.2,1505,1,,0.878378,0.931836,
