id,task,framework,fold,result,mode,version,params,tag,utc,duration,models,seed,info,r2,rmse
openml.org/t/4862,houses,TPOT,3,43538.6,aws.docker,0.11.1,{},stable,2020-05-17T09:04:38,14411.8,1938,1,,0.855129,43538.6
openml.org/t/4862,houses,TPOT,2,42412.4,aws.docker,0.11.1,{},stable,2020-05-17T09:04:59,14428.3,2274,1,,0.865639,42412.4
openml.org/t/4862,houses,TPOT,0,43276.0,aws.docker,0.11.1,{},stable,2020-05-17T09:05:20,14459.7,2687,1,,0.857257,43276.0
openml.org/t/4862,houses,TPOT,5,47701.6,aws.docker,0.11.1,{},stable,2020-05-17T09:05:22,14432.8,1565,1,,0.842665,47701.6
openml.org/t/4862,houses,TPOT,8,46471.6,aws.docker,0.11.1,{},stable,2020-05-17T09:05:28,14412.6,2205,1,,0.837648,46471.6
openml.org/t/4862,houses,TPOT,6,48645.9,aws.docker,0.11.1,{},stable,2020-05-17T09:05:51,14437.2,2071,1,,0.817927,48645.9
openml.org/t/4862,houses,TPOT,1,48374.9,aws.docker,0.11.1,{},stable,2020-05-17T09:05:33,14477.8,1993,1,,0.820125,48374.9
openml.org/t/4862,houses,TPOT,4,46224.3,aws.docker,0.11.1,{},stable,2020-05-17T09:05:42,14467.1,2071,1,,0.842725,46224.3
openml.org/t/4862,houses,TPOT,7,46511.3,aws.docker,0.11.1,{},stable,2020-05-17T09:06:04,14458.4,2132,1,,0.826134,46511.3
openml.org/t/4862,houses,TPOT,9,43675.3,aws.docker,0.11.1,{},stable,2020-05-17T09:06:13,14444.5,1995,1,,0.860271,43675.3
openml.org/t/4885,fried,TPOT,8,1.03802,aws.docker,0.11.1,{},stable,2020-05-17T09:08:08,14455.8,1088,1,,0.957144,1.03802
openml.org/t/4885,fried,TPOT,6,1.07732,aws.docker,0.11.1,{},stable,2020-05-17T09:08:27,14501.5,987,1,,0.953425,1.07732
openml.org/t/4885,fried,TPOT,2,1.03757,aws.docker,0.11.1,{},stable,2020-05-17T09:08:56,14581.1,1035,1,,0.955893,1.03757
openml.org/t/4885,fried,TPOT,0,1.04212,aws.docker,0.11.1,{},stable,2020-05-17T09:09:34,14632.1,1064,1,,0.9562,1.04212
openml.org/t/7324,BNG_breastTumor,TPOT,1,9.34955,aws.docker,0.11.1,{},stable,2020-05-17T09:10:04,14433.6,980,1,,0.181126,9.34955
openml.org/t/4885,fried,TPOT,5,1.03402,aws.docker,0.11.1,{},stable,2020-05-17T09:10:46,14653.3,1028,1,,0.957729,1.03402
openml.org/t/12732,aloi,TPOT,1,99.7887,aws.docker,0.11.1,{},stable,2020-05-17T09:10:58,14558.8,426,1,,0.879908,99.7887
openml.org/t/4885,fried,TPOT,9,1.03625,aws.docker,0.11.1,{},stable,2020-05-17T09:10:34,14604.2,935,1,,0.956772,1.03625
