id,task,framework,fold,result,mode,version,params,tag,utc,duration,models,seed,info,models_ensemble_count,predict_duration,r2,rmse
openml.org/t/4862,houses,AutoGluon,0,41826.2,aws.docker,0.0.9,,stable,2020-05-16T11:30:11,94.8,9,1,,6,0.534749,0.866661,41826.2
openml.org/t/4862,houses,AutoGluon,4,44483.8,aws.docker,0.0.9,,stable,2020-05-16T11:30:42,90.5,9,1,,4,0.384058,0.854346,44483.8
openml.org/t/4862,houses,AutoGluon,2,41606.8,aws.docker,0.0.9,,stable,2020-05-16T11:30:39,108.2,9,1,,6,0.543954,0.870695,41606.8
openml.org/t/4862,houses,AutoGluon,3,41174.4,aws.docker,0.0.9,,stable,2020-05-16T11:30:52,109.1,9,1,,6,0.510523,0.870435,41174.4
openml.org/t/4862,houses,AutoGluon,7,44547.7,aws.docker,0.0.9,,stable,2020-05-16T11:31:11,87.2,9,1,,6,0.502192,0.840504,44547.7
openml.org/t/4862,houses,AutoGluon,1,44818.8,aws.docker,0.0.9,,stable,2020-05-16T11:31:02,141.3,9,1,,5,0.560468,0.845599,44818.8
openml.org/t/4862,houses,AutoGluon,8,44262.3,aws.docker,0.0.9,,stable,2020-05-16T11:31:25,91.7,9,1,,4,0.192056,0.852718,44262.3
openml.org/t/4862,houses,AutoGluon,5,45701.2,aws.docker,0.0.9,,stable,2020-05-16T11:31:15,113.7,9,1,,5,0.412581,0.855584,45701.2
openml.org/t/4885,fried,AutoGluon,2,1.02034,aws.docker,0.0.9,,stable,2020-05-16T11:32:06,90.6,9,1,,5,0.163337,0.957346,1.02034
openml.org/t/4862,houses,AutoGluon,9,41578.7,aws.docker,0.0.9,,stable,2020-05-16T11:31:37,91.9,9,1,,6,0.466553,0.873364,41578.7
openml.org/t/4885,fried,AutoGluon,0,1.0027,aws.docker,0.0.9,,stable,2020-05-16T11:32:09,109.7,9,1,,4,0.143525,0.959451,1.0027
openml.org/t/4885,fried,AutoGluon,1,1.0168,aws.docker,0.0.9,,stable,2020-05-16T11:32:16,108.7,9,1,,5,0.151241,0.959347,1.0168
openml.org/t/4862,houses,AutoGluon,6,46949.4,aws.docker,0.0.9,,stable,2020-05-16T11:32:16,168.2,9,1,,5,0.472441,0.830405,46949.4
openml.org/t/4885,fried,AutoGluon,4,1.01439,aws.docker,0.0.9,,stable,2020-05-16T11:32:35,100.5,9,1,,4,0.14402,0.958936,1.01439
openml.org/t/4885,fried,AutoGluon,5,0.990238,aws.docker,0.0.9,,stable,2020-05-16T11:32:43,98.9,9,1,,6,2.18238,0.961233,0.990238
openml.org/t/4885,fried,AutoGluon,8,0.992315,aws.docker,0.0.9,,stable,2020-05-16T11:32:55,82.9,9,1,,4,0.142615,0.960834,0.992315
openml.org/t/4885,fried,AutoGluon,6,1.04212,aws.docker,0.0.9,,stable,2020-05-16T11:33:08,102.9,9,1,,6,2.03216,0.956418,1.04212
openml.org/t/4885,fried,AutoGluon,7,1.0277,aws.docker,0.0.9,,stable,2020-05-16T11:33:05,100.6,9,1,,5,0.192632,0.957423,1.0277
openml.org/t/4885,fried,AutoGluon,9,1.00051,aws.docker,0.0.9,,stable,2020-05-16T11:33:21,90.4,9,1,,4,0.143385,0.959703,1.00051
openml.org/t/4885,fried,AutoGluon,3,1.01879,aws.docker,0.0.9,,stable,2020-05-16T11:36:41,93.4,9,1,,4,0.183852,0.958466,1.01879
openml.org/t/7324,BNG_breastTumor,AutoGluon,3,9.40955,aws.docker,0.0.9,,stable,2020-05-16T11:37:10,167.8,9,1,,5,2.2047,0.176099,9.40955
openml.org/t/7324,BNG_breastTumor,AutoGluon,2,9.4177,aws.docker,0.0.9,,stable,2020-05-16T11:37:26,200.4,9,1,,4,0.55338,0.178694,9.4177
openml.org/t/7324,BNG_breastTumor,AutoGluon,5,9.40083,aws.docker,0.0.9,,stable,2020-05-16T11:37:26,170.8,9,1,,5,0.569919,0.171075,9.40083
openml.org/t/7324,BNG_breastTumor,AutoGluon,0,9.27939,aws.docker,0.0.9,,stable,2020-05-16T11:37:24,206.7,9,1,,4,0.600811,0.193579,9.27939
openml.org/t/7324,BNG_breastTumor,AutoGluon,4,9.3964,aws.docker,0.0.9,,stable,2020-05-16T11:38:16,229.7,9,1,,6,0.726066,0.175982,9.3964
openml.org/t/7324,BNG_breastTumor,AutoGluon,1,9.31283,aws.docker,0.0.9,,stable,2020-05-16T11:38:29,229.2,9,1,,4,0.613467,0.187545,9.31283
openml.org/t/7324,BNG_breastTumor,AutoGluon,6,9.35607,aws.docker,0.0.9,,stable,2020-05-16T11:39:05,257.0,9,1,,4,0.541255,0.175583,9.35607
openml.org/t/7324,BNG_breastTumor,AutoGluon,7,9.35714,aws.docker,0.0.9,,stable,2020-05-16T11:39:01,233.8,9,1,,4,0.509716,0.173997,9.35714
openml.org/t/7324,BNG_breastTumor,AutoGluon,8,9.42654,aws.docker,0.0.9,,stable,2020-05-16T11:40:06,296.5,9,1,,4,0.516494,0.189529,9.42654
openml.org/t/7324,BNG_breastTumor,AutoGluon,9,9.39896,aws.docker,0.0.9,,stable,2020-05-16T11:40:29,251.2,9,1,,4,0.503011,0.167931,9.39896
openml.org/t/12732,aloi,AutoGluon,8,75.4742,aws.docker,0.0.9,,stable,2020-05-16T11:53:06,1098.8,9,1,,5,17.7322,0.931311,75.4742
openml.org/t/12732,aloi,AutoGluon,3,75.1092,aws.docker,0.0.9,,stable,2020-05-16T11:53:07,1153.4,9,1,,4,18.7241,0.933474,75.1092
openml.org/t/12732,aloi,AutoGluon,7,72.8623,aws.docker,0.0.9,,stable,2020-05-16T11:53:50,1151.6,9,1,,4,17.0409,0.93635,72.8623
openml.org/t/12732,aloi,AutoGluon,2,71.968,aws.docker,0.0.9,,stable,2020-05-16T11:54:26,1237.2,9,1,,4,18.861,0.937245,71.968
openml.org/t/12732,aloi,AutoGluon,9,77.1279,aws.docker,0.0.9,,stable,2020-05-16T11:54:49,1193.2,9,1,,5,21.6896,0.927765,77.1279
openml.org/t/12732,aloi,AutoGluon,4,70.5691,aws.docker,0.0.9,,stable,2020-05-16T11:54:50,1237.1,9,1,,4,19.0926,0.939496,70.5691
openml.org/t/12732,aloi,AutoGluon,0,75.41,aws.docker,0.0.9,,stable,2020-05-16T11:55:17,1301.6,9,1,,4,22.9027,0.932594,75.41
openml.org/t/12732,aloi,AutoGluon,6,74.1964,aws.docker,0.0.9,,stable,2020-05-16T11:56:46,1327.4,9,1,,4,21.3478,0.934139,74.1964
openml.org/t/12732,aloi,AutoGluon,1,70.8684,aws.docker,0.0.9,,stable,2020-05-16T11:58:38,1487.4,9,1,,4,20.3384,0.93943,70.8684
openml.org/t/12732,aloi,AutoGluon,5,74.287,aws.docker,0.0.9,,stable,2020-05-16T12:01:34,1640.2,9,1,,4,18.1691,0.934333,74.287
