id,task,framework,fold,result,mode,version,params,tag,utc,duration,models,seed,info,acc,auc,logloss,models_ensemble_count,predict_duration
openml.org/t/146818,Australian,AutoGluon,1,0.915959,aws.docker,0.0.9,,stable,2020-05-14T00:38:43,9.2,11,1,,0.869565,0.915959,,4,0.175252
openml.org/t/146818,Australian,AutoGluon,2,0.921902,aws.docker,0.0.9,,stable,2020-05-14T00:39:02,9.8,11,1,,0.855072,0.921902,,4,0.176311
openml.org/t/146818,Australian,AutoGluon,0,0.943973,aws.docker,0.0.9,,stable,2020-05-14T00:38:42,9.4,11,1,,0.855072,0.943973,,3,0.148505
openml.org/t/146818,Australian,AutoGluon,3,0.937182,aws.docker,0.0.9,,stable,2020-05-14T00:39:15,9.3,11,1,,0.869565,0.937182,,5,0.0810859
openml.org/t/146818,Australian,AutoGluon,4,0.957555,aws.docker,0.0.9,,stable,2020-05-14T00:39:28,9.6,11,1,,0.927536,0.957555,,6,0.296324
openml.org/t/146818,Australian,AutoGluon,5,0.979626,aws.docker,0.0.9,,stable,2020-05-14T00:39:46,9.3,11,1,,0.927536,0.979626,,8,0.529689
openml.org/t/146818,Australian,AutoGluon,9,0.936752,aws.docker,0.0.9,,stable,2020-05-14T00:40:47,9.5,11,1,,0.84058,0.936752,,9,0.544366
openml.org/t/146818,Australian,AutoGluon,7,0.941026,aws.docker,0.0.9,,stable,2020-05-14T00:40:19,9.9,11,1,,0.884058,0.941026,,4,0.177803
openml.org/t/146818,Australian,AutoGluon,6,0.919355,aws.docker,0.0.9,,stable,2020-05-14T00:40:54,9.6,11,1,,0.884058,0.919355,,3,0.0563009
openml.org/t/146818,Australian,AutoGluon,8,0.950427,aws.docker,0.0.9,,stable,2020-05-14T00:40:38,9.5,11,1,,0.884058,0.950427,,3,0.0557573
openml.org/t/10101,blood-transfusion,AutoGluon,1,0.870858,aws.docker,0.0.9,,stable,2020-05-14T00:41:17,8.6,11,1,,0.826667,0.870858,,4,0.0295491
openml.org/t/10101,blood-transfusion,AutoGluon,0,0.72076,aws.docker,0.0.9,,stable,2020-05-14T00:41:10,8.9,11,1,,0.773333,0.72076,,3,0.0261734
openml.org/t/10101,blood-transfusion,AutoGluon,2,0.670565,aws.docker,0.0.9,,stable,2020-05-14T00:41:25,8.7,11,1,,0.72,0.670565,,4,0.0282218
openml.org/t/10101,blood-transfusion,AutoGluon,3,0.694444,aws.docker,0.0.9,,stable,2020-05-14T00:41:47,9.6,11,1,,0.786667,0.694444,,3,0.013624
openml.org/t/10101,blood-transfusion,AutoGluon,5,0.70614,aws.docker,0.0.9,,stable,2020-05-14T00:42:12,8.3,11,1,,0.773333,0.70614,,4,0.122863
openml.org/t/10101,blood-transfusion,AutoGluon,4,0.807992,aws.docker,0.0.9,,stable,2020-05-14T00:42:05,8.5,11,1,,0.813333,0.807992,,3,0.0236619
openml.org/t/10101,blood-transfusion,AutoGluon,7,0.737329,aws.docker,0.0.9,,stable,2020-05-14T00:42:44,8.6,11,1,,0.8,0.737329,,5,0.0340202
openml.org/t/10101,blood-transfusion,AutoGluon,6,0.757797,aws.docker,0.0.9,,stable,2020-05-14T00:42:32,9.1,11,1,,0.8,0.757797,,3,0.02301
openml.org/t/10101,blood-transfusion,AutoGluon,9,0.701238,aws.docker,0.0.9,,stable,2020-05-14T00:43:13,9.2,11,1,,0.756757,0.701238,,3,0.0241899
openml.org/t/10101,blood-transfusion,AutoGluon,8,0.756966,aws.docker,0.0.9,,stable,2020-05-14T00:43:03,8.4,11,1,,0.810811,0.756966,,4,0.0286925
openml.org/t/146821,car,AutoGluon,0,0.0180698,aws.docker,0.0.9,,stable,2020-05-14T00:44:10,49.6,9,1,,0.99422,,0.0180698,3,0.0524673
openml.org/t/146821,car,AutoGluon,1,0.00958986,aws.docker,0.0.9,,stable,2020-05-14T00:44:34,54.6,9,1,,1.0,,0.00958986,3,0.0645363
openml.org/t/146821,car,AutoGluon,2,0.0152135,aws.docker,0.0.9,,stable,2020-05-14T00:44:51,57.2,9,1,,0.99422,,0.0152135,3,0.0676329
openml.org/t/146821,car,AutoGluon,4,0.000270063,aws.docker,0.0.9,,stable,2020-05-14T00:45:13,53.7,9,1,,1.0,,0.000270063,2,0.0924764
openml.org/t/146821,car,AutoGluon,5,0.00502961,aws.docker,0.0.9,,stable,2020-05-14T00:45:30,50.1,9,1,,1.0,,0.00502961,2,0.0449049
openml.org/t/146821,car,AutoGluon,3,0.00614614,aws.docker,0.0.9,,stable,2020-05-14T00:45:25,67.9,9,1,,1.0,,0.00614614,3,0.0798802
openml.org/t/146821,car,AutoGluon,6,0.0118838,aws.docker,0.0.9,,stable,2020-05-14T00:45:58,64.2,9,1,,0.99422,,0.0118838,2,0.0385964
openml.org/t/146821,car,AutoGluon,7,0.00438671,aws.docker,0.0.9,,stable,2020-05-14T00:45:54,42.7,9,1,,1.0,,0.00438671,2,0.0638735
openml.org/t/146821,car,AutoGluon,9,0.0168858,aws.docker,0.0.9,,stable,2020-05-14T00:46:46,67.5,9,1,,1.0,,0.0168858,2,0.0559521
openml.org/t/146821,car,AutoGluon,8,0.00327807,aws.docker,0.0.9,,stable,2020-05-14T00:46:41,84.9,9,1,,1.0,,0.00327807,2,0.0447354
openml.org/t/9981,cnae-9,AutoGluon,0,0.176412,aws.docker,0.0.9,,stable,2020-05-14T00:49:37,65.3,11,1,,0.944444,,0.176412,5,1.91699
openml.org/t/168908,christine,AutoGluon,0,0.837747,aws.docker,0.0.9,,stable,2020-05-14T00:49:45,169.6,11,1,,0.750923,0.837747,,9,6.67198
openml.org/t/9981,cnae-9,AutoGluon,1,0.323755,aws.docker,0.0.9,,stable,2020-05-14T00:49:57,76.4,11,1,,0.907407,,0.323755,3,1.37516
openml.org/t/168908,christine,AutoGluon,1,0.833499,aws.docker,0.0.9,,stable,2020-05-14T00:50:07,181.1,11,1,,0.752768,0.833499,,9,4.79196
openml.org/t/9981,cnae-9,AutoGluon,2,0.159344,aws.docker,0.0.9,,stable,2020-05-14T00:50:17,70.7,11,1,,0.944444,,0.159344,4,1.69868
openml.org/t/168908,christine,AutoGluon,2,0.815485,aws.docker,0.0.9,,stable,2020-05-14T00:50:28,184.7,11,1,,0.739852,0.815485,,8,5.90146
openml.org/t/9981,cnae-9,AutoGluon,3,0.271168,aws.docker,0.0.9,,stable,2020-05-14T00:50:20,67.4,11,1,,0.925926,,0.271168,3,1.39708
openml.org/t/168908,christine,AutoGluon,3,0.801174,aws.docker,0.0.9,,stable,2020-05-14T00:50:34,172.2,11,1,,0.736162,0.801174,,9,6.58518
openml.org/t/9981,cnae-9,AutoGluon,4,0.158877,aws.docker,0.0.9,,stable,2020-05-14T00:50:55,79.7,11,1,,0.953704,,0.158877,3,1.39432
openml.org/t/168908,christine,AutoGluon,4,0.799267,aws.docker,0.0.9,,stable,2020-05-14T00:50:48,171.2,11,1,,0.715867,0.799267,,5,3.41366
openml.org/t/9981,cnae-9,AutoGluon,5,0.154179,aws.docker,0.0.9,,stable,2020-05-14T00:51:06,81.4,11,1,,0.944444,,0.154179,5,1.90423
openml.org/t/168908,christine,AutoGluon,5,0.826487,aws.docker,0.0.9,,stable,2020-05-14T00:50:52,165.6,11,1,,0.747232,0.826487,,8,4.64439
openml.org/t/31,credit-g,AutoGluon,0,0.83381,aws.docker,0.0.9,,stable,2020-05-14T00:51:04,13.9,11,1,,0.81,0.83381,,5,0.208682
openml.org/t/9981,cnae-9,AutoGluon,6,0.232914,aws.docker,0.0.9,,stable,2020-05-14T00:51:11,65.7,11,1,,0.925926,,0.232914,5,1.79307
openml.org/t/168908,christine,AutoGluon,6,0.829169,aws.docker,0.0.9,,stable,2020-05-14T00:51:21,172.0,11,1,,0.767528,0.829169,,9,6.39035
openml.org/t/31,credit-g,AutoGluon,1,0.777143,aws.docker,0.0.9,,stable,2020-05-14T00:51:23,13.5,11,1,,0.75,0.777143,,11,0.84169
