id,task,framework,fold,result,mode,version,params,tag,utc,duration,models,seed,info,r2,rmse
openml.org/t/4862,houses,autosklearn,1,45917.3,aws.docker,0.6.0,,stable,2020-05-16T05:31:25,3599.8,8,1,,0.837937,45917.3
openml.org/t/4862,houses,autosklearn,0,44542.3,aws.docker,0.6.0,,stable,2020-05-16T05:31:15,3598.4,7,1,,0.848781,44542.3
openml.org/t/4862,houses,autosklearn,3,41933.1,aws.docker,0.6.0,,stable,2020-05-16T05:31:45,3597.5,9,1,,0.865616,41933.1
openml.org/t/4862,houses,autosklearn,4,45160.2,aws.docker,0.6.0,,stable,2020-05-16T05:31:55,3598.2,7,1,,0.849883,45160.2
openml.org/t/4862,houses,autosklearn,2,43550.9,aws.docker,0.6.0,,stable,2020-05-16T05:31:35,3599.1,7,1,,0.858328,43550.9
openml.org/t/4862,houses,autosklearn,5,47110.5,aws.docker,0.6.0,,stable,2020-05-16T05:32:06,3599.6,11,1,,0.84654,47110.5
openml.org/t/4862,houses,autosklearn,6,47816.6,aws.docker,0.6.0,,stable,2020-05-16T05:32:11,3598.1,10,1,,0.824082,47816.6
openml.org/t/4862,houses,autosklearn,8,45605.5,aws.docker,0.6.0,,stable,2020-05-16T05:32:41,3597.7,7,1,,0.843643,45605.5
openml.org/t/4885,fried,autosklearn,3,1.02523,aws.docker,0.6.0,,stable,2020-05-16T05:33:29,3598.2,7,1,,0.95794,1.02523
openml.org/t/4885,fried,autosklearn,0,1.02398,aws.docker,0.6.0,,stable,2020-05-16T05:33:05,3597.1,6,1,,0.957712,1.02398
openml.org/t/4885,fried,autosklearn,1,1.03516,aws.docker,0.6.0,,stable,2020-05-16T05:33:12,3597.5,8,1,,0.957866,1.03516
openml.org/t/4885,fried,autosklearn,2,1.06098,aws.docker,0.6.0,,stable,2020-05-16T05:33:30,3597.9,7,1,,0.95388,1.06098
openml.org/t/4885,fried,autosklearn,4,1.03539,aws.docker,0.6.0,,stable,2020-05-16T05:33:42,3598.8,7,1,,0.957218,1.03539
openml.org/t/4885,fried,autosklearn,7,1.07227,aws.docker,0.6.0,,stable,2020-05-16T05:34:06,3595.9,7,1,,0.953649,1.07227
openml.org/t/4885,fried,autosklearn,5,1.00374,aws.docker,0.6.0,,stable,2020-05-16T05:33:45,3596.9,7,1,,0.960168,1.00374
openml.org/t/4885,fried,autosklearn,6,1.03996,aws.docker,0.6.0,,stable,2020-05-16T05:34:03,3600.0,11,1,,0.956599,1.03996
openml.org/t/4885,fried,autosklearn,9,1.02268,aws.docker,0.6.0,,stable,2020-05-16T05:34:27,3597.6,8,1,,0.957897,1.02268
openml.org/t/4885,fried,autosklearn,8,1.00903,aws.docker,0.6.0,,stable,2020-05-16T05:34:26,3597.6,10,1,,0.959504,1.00903
openml.org/t/4862,houses,autosklearn,9,41894.3,aws.docker,0.6.0,,stable,2020-05-16T05:34:31,3597.6,9,1,,0.871434,41894.3
openml.org/t/4862,houses,autosklearn,7,,aws.docker,0.6.0,,stable,2020-05-16T05:34:44,3599.1,,1,"NoResultError: Expecting ',' delimiter: line 1 column 32806 (char 32805)",,
openml.org/t/12732,aloi,autosklearn,0,91.7795,aws.docker,0.6.0,,stable,2020-05-16T05:35:31,3596.6,6,1,,0.900154,91.7795
openml.org/t/12732,aloi,autosklearn,1,84.2431,aws.docker,0.6.0,,stable,2020-05-16T05:35:33,3597.1,3,1,,0.914411,84.2431
openml.org/t/12732,aloi,autosklearn,2,104.382,aws.docker,0.6.0,,stable,2020-05-16T05:35:28,3597.1,4,1,,0.867986,104.382
openml.org/t/12732,aloi,autosklearn,5,101.061,aws.docker,0.6.0,,stable,2020-05-16T05:36:08,3597.4,3,1,,0.878468,101.061
openml.org/t/12732,aloi,autosklearn,6,97.1558,aws.docker,0.6.0,,stable,2020-05-16T05:36:15,3596.6,5,1,,0.887072,97.1558
openml.org/t/12732,aloi,autosklearn,3,79.5142,aws.docker,0.6.0,,stable,2020-05-16T05:36:21,3596.3,5,1,,0.925442,79.5142
openml.org/t/7324,BNG_breastTumor,autosklearn,0,9.29291,aws.docker,0.6.0,,stable,2020-05-16T05:36:27,3597.2,10,1,,0.191228,9.29291
openml.org/t/12732,aloi,autosklearn,7,96.9921,aws.docker,0.6.0,,stable,2020-05-16T05:36:37,3597.0,3,1,,0.887212,96.9921
openml.org/t/12732,aloi,autosklearn,4,71.377,aws.docker,0.6.0,,stable,2020-05-16T05:36:24,3597.0,4,1,,0.938103,71.377
openml.org/t/12732,aloi,autosklearn,8,95.7583,aws.docker,0.6.0,,stable,2020-05-16T05:36:40,3597.0,4,1,,0.889428,95.7583
openml.org/t/7324,BNG_breastTumor,autosklearn,1,9.31445,aws.docker,0.6.0,,stable,2020-05-16T05:36:36,3596.8,9,1,,0.187263,9.31445
openml.org/t/12732,aloi,autosklearn,9,97.1853,aws.docker,0.6.0,,stable,2020-05-16T05:36:53,3596.8,5,1,,0.885311,97.1853
openml.org/t/7324,BNG_breastTumor,autosklearn,2,9.43023,aws.docker,0.6.0,,stable,2020-05-16T05:36:46,3596.7,8,1,,0.176508,9.43023
openml.org/t/7324,BNG_breastTumor,autosklearn,3,9.39125,aws.docker,0.6.0,,stable,2020-05-16T05:36:53,3596.4,6,1,,0.179302,9.39125
openml.org/t/7324,BNG_breastTumor,autosklearn,4,9.40514,aws.docker,0.6.0,,stable,2020-05-16T05:37:09,3596.8,9,1,,0.174449,9.40514
openml.org/t/7324,BNG_breastTumor,autosklearn,5,9.38746,aws.docker,0.6.0,,stable,2020-05-16T05:37:17,3596.2,10,1,,0.173431,9.38746
openml.org/t/7324,BNG_breastTumor,autosklearn,6,9.37224,aws.docker,0.6.0,,stable,2020-05-16T05:37:27,3596.8,9,1,,0.172731,9.37224
