type,task,autogluon,autosklearn,h2oautoml,tpot
binary,adult,11.0,9.3,160.1,417.8
binary,amazon_employee_access,9.0,11.5,153.1,581.7
binary,apsfailure,11.0,9.0,33.1,120.8
binary,australian,11.0,14.4,73.3,8544.0
binary,bank-marketing,11.0,12.777777777777779,127.3,490.2
binary,bioresponse,11.0,14.1,80.8,198.4
binary,blood-transfusion,11.0,12.375,64.1,9657.8
binary,christine,11.0,11.2,61.7,158.9
binary,credit-g,11.0,18.2,72.8,7492.5
binary,dresses-sales,11.0,11.1,77.2,9467.6
binary,guillermo,11.0,10.75,23.0,
binary,higgs,11.0,9.1,72.0,146.2
binary,internet-advertisements,11.0,12.555555555555555,63.0,320.6
binary,jasmine,11.0,12.3,46.1,662.6
binary,kc1,11.0,15.125,56.8,4204.0
binary,kddcup09_appetency,11.0,9.88888888888889,64.4,80.0
binary,kr-vs-kp,9.0,17.8,359.8,2495.8
binary,miniboone,11.0,9.88888888888889,36.6,133.1
binary,nomao,11.0,11.8,45.6,221.9
binary,numerai28.6,11.0,9.2,43.3,157.0
binary,phoneme,11.0,8.857142857142858,182.2,1509.5
binary,riccardo,11.0,9.1,21.8,16.0
binary,sylvine,11.0,7.7,223.0,1213.8
multiclass,car,9.0,1.25,417.1,2889.1
multiclass,cnae-9,11.0,5.666666666666667,181.6,333.9
multiclass,connect-4,9.0,7.5,27.8,173.1
multiclass,dilbert,11.0,5.5,22.5,91.0
multiclass,eucalyptus,11.0,5.142857142857143,79.1,2774.1
multiclass,fabert,11.0,8.75,40.8,155.33333333333334
multiclass,fashion-mnist,11.0,4.5,21.0,48.0
multiclass,helena,7.0,5.1,20.4,81.0
multiclass,jannis,11.0,10.6,32.4,150.0
multiclass,jungle_chess_2pcs_raw_endgame_complete,11.0,4.2,83.3,392.2
multiclass,mfeat-factors,11.0,6.7,108.5,254.0
multiclass,micro-mass,11.0,7.222222222222222,88.2,303.9
multiclass,robert,10.1,5.7,21.8,90.0
multiclass,segment,11.0,6.7,258.5,1099.6
multiclass,shuttle,11.0,2.9,57.0,347.9
multiclass,vehicle,11.0,7.1,76.5,2224.3
multiclass,volkert,11.0,4.857142857142857,23.8,124.0
regression,aloi,9.0,4.2,25.9,108.0
regression,asp-potassco-regression,9.0,,123.8,
regression,bng_breasttumor,9.0,8.4,91.1,277.9
regression,elevators,9.0,8.7,247.7,671.9
regression,fried,9.0,7.8,187.6,354.0
regression,houses,9.0,8.333333333333334,339.4,580.5
regression,moneyball,9.0,6.9,143.0,5999.625
regression,mtp2,9.0,6.0,44.4,212.33333333333334
regression,qsar-tid-11140,9.0,9.6,62.5,254.44444444444446
